Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Unlawful assembly/disturbance of public order;Rebild;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Unlawful assembly/disturbance of public order;Thisted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Unlawful assembly/disturbance of public order;Vesthimmerlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Unlawful assembly/disturbance of public order;Aalborg;0;0;1;0;1;0;0;13;1;1;3;3;0;0
Reported criminal offences;Unlawful assembly/disturbance of public order;Unknown municipality;0;0;0;0;0;0;0;2;0;0;0;1;1;0
Reported criminal offences;Homicide;Region Hovedstaden;10;16;21;14;23;18;11;23;18;17;18;16;22;14
Reported criminal offences;Homicide;Copenhagen;6;6;13;5;11;9;0;5;8;5;13;6;9;5
Reported criminal offences;Homicide;Frederiksberg;1;0;1;0;0;0;2;1;4;2;0;1;0;0
Reported criminal offences;Homicide;Dragør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Tårnby;0;1;0;2;1;1;0;0;0;0;1;0;0;0
Reported criminal offences;Homicide;Albertslund;0;0;0;0;1;1;0;0;0;2;0;0;0;0
Reported criminal offences;Homicide;Ballerup;0;3;1;0;0;0;1;1;0;2;0;1;0;0
Reported criminal offences;Homicide;Brøndby;0;1;0;0;0;0;0;0;0;0;1;0;1;0
Reported criminal offences;Homicide;Gentofte;0;0;0;0;1;1;1;1;0;1;1;0;0;1
Reported criminal offences;Homicide;Gladsaxe;0;1;1;1;3;1;2;2;0;0;0;1;2;1
Reported criminal offences;Homicide;Glostrup;0;0;0;0;0;0;0;1;0;0;1;0;0;0
Reported criminal offences;Homicide;Herlev;0;0;0;2;0;0;0;0;0;1;0;0;1;1
Reported criminal offences;Homicide;Hvidovre;0;1;1;0;1;0;1;1;0;0;0;0;0;0
Reported criminal offences;Homicide;Høje-Taastrup;0;1;1;0;1;1;1;0;1;0;0;1;0;0
Reported criminal offences;Homicide;Ishøj;0;0;0;1;0;0;0;0;0;0;0;0;1;0
Reported criminal offences;Homicide;Lyngby-Taarbæk;0;0;1;0;0;1;0;3;0;0;1;1;0;0
Reported criminal offences;Homicide;Rødovre;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Reported criminal offences;Homicide;Vallensbæk;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Reported criminal offences;Homicide;Allerød;0;0;0;1;1;1;0;0;0;1;0;0;0;1
Reported criminal offences;Homicide;Egedal;1;0;0;0;0;0;0;0;1;0;0;0;0;0
Reported criminal offences;Homicide;Fredensborg;1;1;0;0;0;0;0;2;0;0;0;0;0;1
Reported criminal offences;Homicide;Frederikssund;0;0;0;0;0;0;3;0;1;0;0;0;1;1
Reported criminal offences;Homicide;Furesø;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Reported criminal offences;Homicide;Gribskov;0;0;0;0;0;1;0;1;0;0;0;1;2;0
Reported criminal offences;Homicide;Halsnæs;0;0;0;0;0;0;0;0;0;1;0;0;0;1
Reported criminal offences;Homicide;Helsingør;0;0;1;0;0;0;0;2;0;1;0;1;0;0
Reported criminal offences;Homicide;Hillerød;0;0;0;1;0;0;0;0;1;1;0;0;1;0
Reported criminal offences;Homicide;Hørsholm;0;1;0;0;0;1;0;0;0;0;0;0;1;0
Reported criminal offences;Homicide;Rudersdal;1;0;1;0;3;0;0;2;0;0;0;0;1;1
Reported criminal offences;Homicide;Bornholm;0;0;0;1;0;0;0;1;1;0;0;1;1;1
Reported criminal offences;Homicide;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Region Sjælland;7;10;10;15;9;5;6;9;9;3;5;8;10;11
Reported criminal offences;Homicide;Greve;0;2;0;2;0;1;1;0;0;1;0;0;0;1
Reported criminal offences;Homicide;Køge;0;2;0;4;1;0;0;0;0;0;1;0;0;2
Reported criminal offences;Homicide;Lejre;0;1;0;0;0;0;0;0;0;0;0;0;1;0
Reported criminal offences;Homicide;Roskilde;0;0;0;2;0;0;1;0;0;1;0;0;0;1
Reported criminal offences;Homicide;Solrød;0;0;1;1;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Faxe;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Guldborgsund;2;0;4;1;0;1;0;2;4;0;0;1;1;1
Reported criminal offences;Homicide;Holbæk;1;0;0;2;0;0;0;2;0;0;0;2;2;2
Reported criminal offences;Homicide;Kalundborg;0;0;0;0;1;0;0;0;0;0;0;1;0;1
Reported criminal offences;Homicide;Lolland;1;2;1;0;2;1;1;0;1;0;0;2;0;0
Reported criminal offences;Homicide;Næstved;0;0;0;0;1;0;2;2;1;0;0;0;0;0
Reported criminal offences;Homicide;Odsherred;2;0;1;0;1;0;0;1;0;0;1;1;1;1
Reported criminal offences;Homicide;Ringsted;0;1;2;0;0;0;0;0;1;0;0;0;1;0
Reported criminal offences;Homicide;Slagelse;1;1;0;2;1;1;0;2;0;1;1;1;1;1
Reported criminal offences;Homicide;Sorø;0;0;1;0;0;0;1;0;1;0;0;0;2;0
Reported criminal offences;Homicide;Stevns;0;1;0;0;0;1;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Vordingborg;0;0;0;1;0;0;0;0;1;0;2;0;1;1
Reported criminal offences;Homicide;Region Syddanmark;13;11;12;8;12;10;8;8;4;16;10;12;7;9
Reported criminal offences;Homicide;Assens;0;0;1;0;0;0;1;1;0;1;0;2;0;0
Reported criminal offences;Homicide;Faaborg-Midtfyn;0;0;0;0;1;0;1;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Kerteminde;0;1;1;0;0;1;0;0;1;0;0;0;0;0
Reported criminal offences;Homicide;Langeland;0;0;0;0;0;0;1;0;0;2;0;0;0;0
Reported criminal offences;Homicide;Middelfart;0;1;0;1;0;1;0;0;0;2;0;0;0;0
Reported criminal offences;Homicide;Nordfyns;2;0;0;2;0;2;0;0;0;1;0;0;0;0
Reported criminal offences;Homicide;Nyborg;0;0;0;0;0;0;0;0;0;0;0;0;1;1
Reported criminal offences;Homicide;Odense;1;3;6;1;6;1;0;2;2;1;1;2;0;1
Reported criminal offences;Homicide;Svendborg;0;0;1;0;1;0;1;1;0;2;0;3;0;0
Reported criminal offences;Homicide;Ærø;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Billund;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Reported criminal offences;Homicide;Esbjerg;1;0;0;0;0;1;2;1;1;1;2;1;0;1
Reported criminal offences;Homicide;Fanø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Fredericia;0;0;0;0;0;0;1;0;0;0;0;0;1;1
Reported criminal offences;Homicide;Haderslev;0;1;1;0;0;0;0;0;0;0;1;0;2;0
Reported criminal offences;Homicide;Kolding;0;1;0;1;0;2;0;0;0;2;1;2;1;2
Reported criminal offences;Homicide;Sønderborg;3;0;0;0;2;0;1;1;0;0;0;0;0;2
Reported criminal offences;Homicide;Tønder;1;1;0;2;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Varde;0;0;0;0;0;0;0;0;0;0;1;0;1;0
Reported criminal offences;Homicide;Vejen;1;1;1;0;1;0;0;1;0;0;0;1;0;0
Reported criminal offences;Homicide;Vejle;1;2;1;0;1;2;0;0;0;1;3;0;1;1
Reported criminal offences;Homicide;Aabenraa;1;0;0;1;0;0;0;1;0;3;1;0;0;0
Reported criminal offences;Homicide;Region Midtjylland;10;12;8;9;5;6;12;13;9;8;8;10;7;11
Reported criminal offences;Homicide;Favrskov;0;0;0;1;0;0;0;0;1;0;5;1;0;0
Reported criminal offences;Homicide;Hedensted;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Horsens;0;1;1;2;0;0;0;3;0;0;1;1;1;0
Reported criminal offences;Homicide;Norddjurs;0;0;2;0;1;0;1;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Odder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Randers;0;0;1;1;0;1;2;2;1;3;1;1;1;1
Reported criminal offences;Homicide;Samsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Silkeborg;1;0;0;0;1;0;0;0;0;0;0;0;0;1
Reported criminal offences;Homicide;Skanderborg;0;1;0;0;0;0;0;2;0;0;0;0;0;0
Reported criminal offences;Homicide;Syddjurs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Aarhus;5;8;1;1;1;0;6;4;5;3;1;4;3;8
Reported criminal offences;Homicide;Herning;1;1;0;1;1;0;1;1;0;1;0;0;0;1
Reported criminal offences;Homicide;Holstebro;0;0;1;1;1;0;1;0;0;0;0;1;0;0
Reported criminal offences;Homicide;Ikast-Brande;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Lemvig;1;1;0;0;0;0;0;1;0;0;0;0;0;0
Reported criminal offences;Homicide;Ringkøbing-Skjern;0;0;0;0;0;3;0;0;1;1;0;0;2;0
Reported criminal offences;Homicide;Skive;0;0;1;0;0;1;1;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Struer;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Reported criminal offences;Homicide;Viborg;1;0;0;1;0;1;0;0;1;0;0;1;0;0
Reported criminal offences;Homicide;Region Nordjylland;5;4;4;3;0;2;3;5;6;5;11;5;1;4
Reported criminal offences;Homicide;Brønderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Frederikshavn;1;0;1;0;0;0;1;1;0;0;2;1;0;2
Reported criminal offences;Homicide;Hjørring;0;3;0;0;0;0;0;0;0;1;0;1;0;1
Reported criminal offences;Homicide;Jammerbugt;0;0;1;1;0;0;0;1;0;0;0;0;0;0
Reported criminal offences;Homicide;Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Mariagerfjord;1;0;0;0;0;0;0;1;0;0;0;1;0;1
Reported criminal offences;Homicide;Morsø;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Reported criminal offences;Homicide;Rebild;0;0;0;0;0;0;0;0;0;0;2;1;1;0
Reported criminal offences;Homicide;Thisted;0;1;0;0;0;0;1;0;1;1;1;0;0;0
Reported criminal offences;Homicide;Vesthimmerlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Homicide;Aalborg;3;0;2;2;0;1;1;1;5;3;6;1;0;0
Reported criminal offences;Homicide;Unknown municipality;0;0;1;0;0;2;1;1;0;0;2;1;1;0
Reported criminal offences;Attempted homicide;Region Hovedstaden;72;107;100;74;60;66;89;77;69;111;106;109;72;69
Reported criminal offences;Attempted homicide;Copenhagen;38;62;52;30;28;35;33;29;30;43;69;42;33;26
Reported criminal offences;Attempted homicide;Frederiksberg;2;3;5;4;3;3;3;1;0;10;1;0;2;7
Reported criminal offences;Attempted homicide;Dragør;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Attempted homicide;Tårnby;0;1;0;0;0;2;1;1;1;2;2;0;1;0
Reported criminal offences;Attempted homicide;Albertslund;1;0;2;3;4;1;1;3;2;4;1;10;3;1
Reported criminal offences;Attempted homicide;Ballerup;0;1;0;2;3;2;5;0;3;1;3;0;2;2
Reported criminal offences;Attempted homicide;Brøndby;2;1;3;4;5;1;3;4;3;1;2;5;2;5
Reported criminal offences;Attempted homicide;Gentofte;0;1;1;1;0;1;1;1;0;1;2;2;3;2
Reported criminal offences;Attempted homicide;Gladsaxe;0;3;1;3;3;1;13;4;0;5;3;1;1;2
Reported criminal offences;Attempted homicide;Glostrup;0;0;1;1;0;0;0;3;0;1;0;2;0;0
Reported criminal offences;Attempted homicide;Herlev;0;1;2;2;2;0;4;4;1;2;1;5;2;2
Reported criminal offences;Attempted homicide;Hvidovre;2;4;1;3;1;0;4;1;4;5;0;8;2;5
Reported criminal offences;Attempted homicide;Høje-Taastrup;3;2;2;1;1;3;4;3;2;5;4;3;2;2
Reported criminal offences;Attempted homicide;Ishøj;2;4;3;2;1;1;3;2;2;2;1;5;3;4
Reported criminal offences;Attempted homicide;Lyngby-Taarbæk;0;1;3;3;0;0;0;1;0;3;1;2;1;1
Reported criminal offences;Attempted homicide;Rødovre;3;1;2;0;1;2;0;3;1;2;2;3;2;1
Reported criminal offences;Attempted homicide;Vallensbæk;0;2;1;0;1;0;0;0;0;0;0;1;0;0
Reported criminal offences;Attempted homicide;Allerød;0;2;1;2;1;2;1;0;1;2;2;0;0;0
Reported criminal offences;Attempted homicide;Egedal;1;0;0;0;0;0;0;1;0;0;0;0;2;1
Reported criminal offences;Attempted homicide;Fredensborg;1;1;1;1;0;1;5;2;1;5;0;5;1;1
Reported criminal offences;Attempted homicide;Frederikssund;2;1;4;1;1;2;0;0;1;1;0;0;1;2
Reported criminal offences;Attempted homicide;Furesø;7;5;2;2;0;0;2;1;3;1;0;2;0;0
Reported criminal offences;Attempted homicide;Gribskov;1;2;4;1;0;1;2;2;2;1;1;0;0;1
Reported criminal offences;Attempted homicide;Halsnæs;1;0;2;0;0;3;1;2;0;5;3;0;0;1
Reported criminal offences;Attempted homicide;Helsingør;2;5;3;3;5;3;1;3;8;3;5;4;1;1
Reported criminal offences;Attempted homicide;Hillerød;1;3;1;1;0;2;1;1;2;5;0;4;1;0
Reported criminal offences;Attempted homicide;Hørsholm;0;0;1;1;0;0;0;0;0;0;0;1;4;1
Reported criminal offences;Attempted homicide;Rudersdal;1;0;0;0;0;0;1;2;1;0;2;4;1;0
Reported criminal offences;Attempted homicide;Bornholm;2;1;2;2;0;0;0;3;1;1;1;0;2;1
Reported criminal offences;Attempted homicide;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Attempted homicide;Region Sjælland;33;17;27;16;31;16;24;21;17;21;25;33;28;23
Reported criminal offences;Attempted homicide;Greve;4;1;4;3;1;1;1;1;3;0;0;4;5;5
Reported criminal offences;Attempted homicide;Køge;4;0;3;1;4;1;3;3;2;1;0;0;1;3
Reported criminal offences;Attempted homicide;Lejre;0;1;0;0;0;2;0;0;0;0;0;0;0;0
Reported criminal offences;Attempted homicide;Roskilde;2;2;2;2;0;0;1;1;1;3;0;1;0;1
Reported criminal offences;Attempted homicide;Solrød;0;0;0;1;2;0;0;0;0;0;0;0;0;0
Reported criminal offences;Attempted homicide;Faxe;0;0;2;0;1;1;1;0;0;3;3;3;2;1
Reported criminal offences;Attempted homicide;Guldborgsund;3;0;2;2;6;2;5;4;3;0;8;3;2;2
Reported criminal offences;Attempted homicide;Holbæk;1;1;1;1;0;2;3;1;0;2;1;4;3;1
Reported criminal offences;Attempted homicide;Kalundborg;1;1;1;0;0;1;1;1;0;0;0;4;1;2
Reported criminal offences;Attempted homicide;Lolland;4;2;2;2;3;1;3;2;3;1;4;2;4;2
Reported criminal offences;Attempted homicide;Næstved;2;2;6;1;1;0;2;3;1;9;3;4;3;0
Reported criminal offences;Attempted homicide;Odsherred;1;0;0;1;2;1;0;1;1;0;2;0;0;0
Reported criminal offences;Attempted homicide;Ringsted;4;0;0;0;0;1;0;1;0;0;0;1;1;1
Reported criminal offences;Attempted homicide;Slagelse;4;4;3;1;8;0;2;3;3;0;0;1;3;3
Reported criminal offences;Attempted homicide;Sorø;1;2;0;1;0;0;1;0;0;0;3;2;0;2
Reported criminal offences;Attempted homicide;Stevns;1;0;0;0;0;0;0;0;0;0;1;1;0;0
Reported criminal offences;Attempted homicide;Vordingborg;1;1;1;0;3;3;1;0;0;2;0;3;3;0
Reported criminal offences;Attempted homicide;Region Syddanmark;28;25;37;26;24;33;21;24;20;35;27;25;17;22
Reported criminal offences;Attempted homicide;Assens;1;0;0;0;0;0;0;0;0;0;1;0;1;0
Reported criminal offences;Attempted homicide;Faaborg-Midtfyn;2;2;0;0;0;1;0;0;0;1;0;0;0;0
Reported criminal offences;Attempted homicide;Kerteminde;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Reported criminal offences;Attempted homicide;Langeland;0;2;0;0;0;2;1;0;0;0;0;0;0;0
Reported criminal offences;Attempted homicide;Middelfart;3;1;2;0;1;0;2;0;0;0;3;1;0;1
Reported criminal offences;Attempted homicide;Nordfyns;0;0;0;0;1;0;1;0;0;1;0;0;0;0
Reported criminal offences;Attempted homicide;Nyborg;2;0;2;1;1;3;1;0;0;3;2;0;0;0
Reported criminal offences;Attempted homicide;Odense;10;8;15;9;6;13;4;5;7;11;8;3;6;6
Reported criminal offences;Attempted homicide;Svendborg;2;0;1;1;1;1;2;3;0;2;0;2;1;0
Reported criminal offences;Attempted homicide;Ærø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Attempted homicide;Billund;0;1;1;0;1;0;0;0;0;1;1;0;0;1
Reported criminal offences;Attempted homicide;Esbjerg;2;3;4;1;3;0;2;0;4;1;2;4;5;2
Reported criminal offences;Attempted homicide;Fanø;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Reported criminal offences;Attempted homicide;Fredericia;0;3;2;2;3;3;2;1;2;6;1;4;1;0
Reported criminal offences;Attempted homicide;Haderslev;1;0;0;1;0;0;1;2;0;0;0;0;0;2
Reported criminal offences;Attempted homicide;Kolding;1;1;3;3;3;1;2;3;1;3;1;3;1;1
Reported criminal offences;Attempted homicide;Sønderborg;1;0;0;1;0;2;0;1;0;2;1;3;0;2
Reported criminal offences;Attempted homicide;Tønder;0;1;2;0;0;2;1;0;0;0;0;0;1;0
Reported criminal offences;Attempted homicide;Varde;0;1;1;0;1;0;1;2;1;1;0;0;0;1
Reported criminal offences;Attempted homicide;Vejen;0;0;0;2;1;0;0;0;1;0;0;1;0;0
Reported criminal offences;Attempted homicide;Vejle;2;2;0;5;1;1;1;3;3;1;5;3;1;3
Reported criminal offences;Attempted homicide;Aabenraa;1;0;4;0;1;4;0;4;1;2;2;1;0;1
Reported criminal offences;Attempted homicide;Region Midtjylland;39;35;33;28;23;17;20;22;27;20;30;22;20;21
Reported criminal offences;Attempted homicide;Favrskov;0;0;1;3;0;0;0;1;1;0;0;1;1;0
Reported criminal offences;Attempted homicide;Hedensted;1;2;0;1;1;2;2;1;5;0;0;0;0;0
Reported criminal offences;Attempted homicide;Horsens;1;3;2;6;2;3;0;2;1;2;4;0;1;2
Reported criminal offences;Attempted homicide;Norddjurs;4;3;0;2;1;1;0;0;1;1;0;0;0;0
Reported criminal offences;Attempted homicide;Odder;0;0;1;1;0;0;0;0;0;0;0;0;1;1
Reported criminal offences;Attempted homicide;Randers;2;3;3;0;2;2;1;0;0;5;0;2;0;1
Reported criminal offences;Attempted homicide;Samsø;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Attempted homicide;Silkeborg;4;3;1;2;2;0;0;0;2;0;0;1;0;0
Reported criminal offences;Attempted homicide;Skanderborg;1;1;0;0;0;0;1;0;0;0;1;4;2;0
Reported criminal offences;Attempted homicide;Syddjurs;1;0;0;0;0;0;1;2;2;0;0;0;1;0
Reported criminal offences;Attempted homicide;Aarhus;18;11;17;8;10;7;13;11;8;5;21;8;11;12
Reported criminal offences;Attempted homicide;Herning;0;0;1;2;1;1;0;2;2;6;1;2;1;0
Reported criminal offences;Attempted homicide;Holstebro;3;0;0;0;0;1;0;2;0;0;0;1;1;1
Reported criminal offences;Attempted homicide;Ikast-Brande;0;0;1;1;1;0;1;1;0;0;1;2;0;1
Reported criminal offences;Attempted homicide;Lemvig;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Reported criminal offences;Attempted homicide;Ringkøbing-Skjern;0;4;2;1;1;0;0;0;1;0;1;0;1;1
Reported criminal offences;Attempted homicide;Skive;2;4;0;1;1;0;0;0;1;0;0;1;0;0
Reported criminal offences;Attempted homicide;Struer;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Attempted homicide;Viborg;1;1;3;0;0;0;1;0;3;1;1;0;0;2
Reported criminal offences;Attempted homicide;Region Nordjylland;15;10;9;7;9;9;10;4;4;6;11;10;3;8
Reported criminal offences;Attempted homicide;Brønderslev;0;1;0;0;1;0;0;0;0;0;1;1;0;1
Reported criminal offences;Attempted homicide;Frederikshavn;2;0;1;0;0;1;1;1;1;1;1;1;0;1
Reported criminal offences;Attempted homicide;Hjørring;4;1;0;1;0;0;3;0;1;0;1;0;0;0
Reported criminal offences;Attempted homicide;Jammerbugt;1;0;0;0;1;0;1;1;0;0;0;0;0;0
Reported criminal offences;Attempted homicide;Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Attempted homicide;Mariagerfjord;1;1;0;0;1;1;0;1;0;0;0;1;1;0
Reported criminal offences;Attempted homicide;Morsø;2;1;1;0;0;1;0;0;0;1;0;0;0;0
Reported criminal offences;Attempted homicide;Rebild;0;1;0;0;0;0;0;0;0;0;1;0;1;0
Reported criminal offences;Attempted homicide;Thisted;1;3;0;0;1;0;0;1;2;0;3;2;0;2
Reported criminal offences;Attempted homicide;Vesthimmerlands;1;1;0;0;0;0;3;0;0;0;0;2;1;2
Reported criminal offences;Attempted homicide;Aalborg;3;1;7;6;5;6;2;0;0;4;4;3;0;2
Reported criminal offences;Attempted homicide;Unknown municipality;0;3;2;1;1;1;1;0;4;1;13;8;9;8
Reported criminal offences;Coercive control;Region Hovedstaden;0;0;0;0;0;0;0;0;0;0;0;0;62;158
Reported criminal offences;Coercive control;Copenhagen;0;0;0;0;0;0;0;0;0;0;0;0;19;36
Reported criminal offences;Coercive control;Frederiksberg;0;0;0;0;0;0;0;0;0;0;0;0;3;5
Reported criminal offences;Coercive control;Dragør;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Reported criminal offences;Coercive control;Tårnby;0;0;0;0;0;0;0;0;0;0;0;0;2;2
Reported criminal offences;Coercive control;Albertslund;0;0;0;0;0;0;0;0;0;0;0;0;2;3
Reported criminal offences;Coercive control;Ballerup;0;0;0;0;0;0;0;0;0;0;0;0;3;7
Reported criminal offences;Coercive control;Brøndby;0;0;0;0;0;0;0;0;0;0;0;0;2;1
Reported criminal offences;Coercive control;Gentofte;0;0;0;0;0;0;0;0;0;0;0;0;0;7
Reported criminal offences;Coercive control;Gladsaxe;0;0;0;0;0;0;0;0;0;0;0;0;3;10
Reported criminal offences;Coercive control;Glostrup;0;0;0;0;0;0;0;0;0;0;0;0;1;3
Reported criminal offences;Coercive control;Herlev;0;0;0;0;0;0;0;0;0;0;0;0;1;3
Reported criminal offences;Coercive control;Hvidovre;0;0;0;0;0;0;0;0;0;0;0;0;1;5
Reported criminal offences;Coercive control;Høje-Taastrup;0;0;0;0;0;0;0;0;0;0;0;0;0;9
Reported criminal offences;Coercive control;Ishøj;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Reported criminal offences;Coercive control;Lyngby-Taarbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Reported criminal offences;Coercive control;Rødovre;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Reported criminal offences;Coercive control;Vallensbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Coercive control;Allerød;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Reported criminal offences;Coercive control;Egedal;0;0;0;0;0;0;0;0;0;0;0;0;1;3
Reported criminal offences;Coercive control;Fredensborg;0;0;0;0;0;0;0;0;0;0;0;0;1;3
Reported criminal offences;Coercive control;Frederikssund;0;0;0;0;0;0;0;0;0;0;0;0;1;6
Reported criminal offences;Coercive control;Furesø;0;0;0;0;0;0;0;0;0;0;0;0;1;8
Reported criminal offences;Coercive control;Gribskov;0;0;0;0;0;0;0;0;0;0;0;0;3;10
Reported criminal offences;Coercive control;Halsnæs;0;0;0;0;0;0;0;0;0;0;0;0;2;5
Reported criminal offences;Coercive control;Helsingør;0;0;0;0;0;0;0;0;0;0;0;0;6;9
Reported criminal offences;Coercive control;Hillerød;0;0;0;0;0;0;0;0;0;0;0;0;2;4
Reported criminal offences;Coercive control;Hørsholm;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Reported criminal offences;Coercive control;Rudersdal;0;0;0;0;0;0;0;0;0;0;0;0;2;6
Reported criminal offences;Coercive control;Bornholm;0;0;0;0;0;0;0;0;0;0;0;0;5;4
Reported criminal offences;Coercive control;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Coercive control;Region Sjælland;0;0;0;0;0;0;0;0;0;0;0;0;40;84
Reported criminal offences;Coercive control;Greve;0;0;0;0;0;0;0;0;0;0;0;0;1;2
Reported criminal offences;Coercive control;Køge;0;0;0;0;0;0;0;0;0;0;0;0;0;8
Reported criminal offences;Coercive control;Lejre;0;0;0;0;0;0;0;0;0;0;0;0;1;3
Reported criminal offences;Coercive control;Roskilde;0;0;0;0;0;0;0;0;0;0;0;0;3;5
Reported criminal offences;Coercive control;Solrød;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Reported criminal offences;Coercive control;Faxe;0;0;0;0;0;0;0;0;0;0;0;0;1;5
Reported criminal offences;Coercive control;Guldborgsund;0;0;0;0;0;0;0;0;0;0;0;0;8;14
Reported criminal offences;Coercive control;Holbæk;0;0;0;0;0;0;0;0;0;0;0;0;1;10
Reported criminal offences;Coercive control;Kalundborg;0;0;0;0;0;0;0;0;0;0;0;0;3;3
Reported criminal offences;Coercive control;Lolland;0;0;0;0;0;0;0;0;0;0;0;0;1;4
Reported criminal offences;Coercive control;Næstved;0;0;0;0;0;0;0;0;0;0;0;0;8;5
Reported criminal offences;Coercive control;Odsherred;0;0;0;0;0;0;0;0;0;0;0;0;1;5
Reported criminal offences;Coercive control;Ringsted;0;0;0;0;0;0;0;0;0;0;0;0;2;2
Reported criminal offences;Coercive control;Slagelse;0;0;0;0;0;0;0;0;0;0;0;0;3;3
Reported criminal offences;Coercive control;Sorø;0;0;0;0;0;0;0;0;0;0;0;0;5;8
Reported criminal offences;Coercive control;Stevns;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Reported criminal offences;Coercive control;Vordingborg;0;0;0;0;0;0;0;0;0;0;0;0;2;4
Reported criminal offences;Coercive control;Region Syddanmark;0;0;0;0;0;0;0;0;0;0;0;0;32;71
Reported criminal offences;Coercive control;Assens;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Reported criminal offences;Coercive control;Faaborg-Midtfyn;0;0;0;0;0;0;0;0;0;0;0;0;2;3
Reported criminal offences;Coercive control;Kerteminde;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Reported criminal offences;Coercive control;Langeland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Coercive control;Middelfart;0;0;0;0;0;0;0;0;0;0;0;0;2;2
Reported criminal offences;Coercive control;Nordfyns;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Reported criminal offences;Coercive control;Nyborg;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Reported criminal offences;Coercive control;Odense;0;0;0;0;0;0;0;0;0;0;0;0;3;7
Reported criminal offences;Coercive control;Svendborg;0;0;0;0;0;0;0;0;0;0;0;0;1;2
Reported criminal offences;Coercive control;Ærø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Coercive control;Billund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Coercive control;Esbjerg;0;0;0;0;0;0;0;0;0;0;0;0;0;12
Reported criminal offences;Coercive control;Fanø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Coercive control;Fredericia;0;0;0;0;0;0;0;0;0;0;0;0;7;9
