Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Nature of the offence, total;Bornholm;2324;2458;2192;2065;1672;1825;2158;1910;1819;1784;1729;1660;1776;1501
Reported criminal offences;Nature of the offence, total;Christiansø;1;0;0;0;1;0;0;0;1;0;1;1;0;0
Reported criminal offences;Nature of the offence, total;Region Sjælland;64419;75670;76705;72703;71807;66757;67952;66553;63480;65721;62975;61445;57270;52608
Reported criminal offences;Nature of the offence, total;Greve;4001;5506;5762;5316;4786;4600;4674;4414;3865;4044;3716;3575;3495;3230
Reported criminal offences;Nature of the offence, total;Køge;4770;5945;6526;6059;5861;5445;5590;5275;4485;4826;4675;3897;3970;4096
Reported criminal offences;Nature of the offence, total;Lejre;1282;1636;1636;1586;1392;1396;1375;1349;1133;1227;1174;1592;1087;880
Reported criminal offences;Nature of the offence, total;Roskilde;7707;9161;9472;8853;9503;9432;9396;9191;8603;8212;8685;7825;7044;5015
Reported criminal offences;Nature of the offence, total;Solrød;1222;1747;1755;2011;1432;1476;1508;1293;1277;1185;1248;1211;1227;1007
Reported criminal offences;Nature of the offence, total;Faxe;2180;2809;2758;2788;2659;2204;2354;2350;2306;2484;2039;1862;1758;2525
Reported criminal offences;Nature of the offence, total;Guldborgsund;5516;5615;5796;5047;5160;4723;5447;5162;4772;5250;4872;4538;5085;4518
Reported criminal offences;Nature of the offence, total;Holbæk;5160;6227;6040;5464;5441;5254;5816;4898;4281;4542;4730;4409;4393;5023
Reported criminal offences;Nature of the offence, total;Kalundborg;3878;4731;4483;3926;3795;3573;3573;3376;2945;3061;2991;2841;3013;2306
Reported criminal offences;Nature of the offence, total;Lolland;4269;5118;5224;4633;4538;3758;4169;4032;5486;5532;4499;4365;4878;3153
Reported criminal offences;Nature of the offence, total;Næstved;5909;6841;6660;6283;6459;5890;5898;6216;5634;6235;5523;6396;5083;5647
Reported criminal offences;Nature of the offence, total;Odsherred;2311;2478;3084;2808;3048;2696;2576;2556;2139;2293;2670;2534;2326;2157
Reported criminal offences;Nature of the offence, total;Ringsted;2804;3040;3135;3049;2735;2776;2440;2519;2750;2398;2727;2413;2128;2262
Reported criminal offences;Nature of the offence, total;Slagelse;7164;7640;7582;7585;7940;7503;7241;7507;7768;7598;7016;8412;6447;6117
