Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Region Hovedstaden;Coercive control;0;0;0;0;0;0;0;0;0;0;0;0;13;61
Region Hovedstaden;Common assault;2125;1959;1757;1714;1735;1581;1485;1629;1496;1458;1737;1849;1776;2074
Region Hovedstaden;Assault causing actual bodily harm;487;401;367;417;400;412;374;446;390;458;546;457;505;495
Region Hovedstaden;Particularly aggravated assault;2;6;2;8;4;4;6;4;3;4;5;5;2;2
Region Hovedstaden;Unprovoked assault;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Hovedstaden;Any other kind of intentional trespass to the person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Hovedstaden;Intentional bodily harm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Hovedstaden;Causing death or bodily harm by negligence;4;13;9;13;7;6;6;11;7;10;11;12;16;3
Region Hovedstaden;Offences against life and limb;85;90;131;89;97;122;109;123;134;107;119;139;121;137
Region Hovedstaden;Offences against personal liberty;71;66;100;71;84;79;86;62;68;87;88;82;93;108
Region Hovedstaden;Threats;772;722;731;762;683;724;697;671;754;730;814;977;1064;1163
Region Hovedstaden;Offences against property, total;17326;17797;17798;20029;22119;19946;19495;20543;22837;22726;18586;18189;21874;24492
Region Hovedstaden;Forgery;799;567;505;857;1871;926;783;704;1086;1287;690;428;580;676
Region Hovedstaden;Cheque forgery;81;82;103;138;49;22;24;21;3;1;0;0;0;0
Region Hovedstaden;Arson;166;194;114;134;100;112;129;105;106;102;83;94;92;95
Region Hovedstaden;Burglary - business and community;526;574;663;720;623;526;447;518;498;394;323;293;311;326
Region Hovedstaden;Residential burglaries;594;737;770;1066;1064;875;900;797;641;698;447;502;380;244
Region Hovedstaden;Burglary (uninhabited buildings);93;108;136;191;117;117;130;192;62;133;96;60;88;101
Region Hovedstaden;Theft from conveyances;425;404;375;439;342;326;230;159;150;195;211;152;210;201
Region Hovedstaden;Shoplifting, etc.;5955;6859;7204;7628;7346;7455;7278;7696;6071;6679;6591;7240;6255;6689
Region Hovedstaden;Other kinds of theft;2725;2683;2646;3022;3414;3572;3492;3188;2182;2158;2134;1757;1804;1744
Region Hovedstaden;Theft of/taking vehicle without the owners consent (TWOC);654;714;677;732;552;564;505;533;533;555;557;473;446;442
Region Hovedstaden;Theft of/taking moped without the owners consent (TWOC);134;117;103;58;70;38;38;23;27;20;12;10;16;17
Region Hovedstaden;Theft of/taking bicycle without the owners consent (TWOC);138;129;169;187;213;260;159;188;129;220;102;113;191;258
Region Hovedstaden;Theft of/taking other objects without the owners consent (TWOC);147;204;172;151;170;173;139;157;124;118;107;118;101;98
Region Hovedstaden;Theft by finding;192;213;244;251;288;268;224;202;190;168;156;111;102;129
Region Hovedstaden;Embezzlement;109;91;64;227;75;86;71;610;917;828;93;328;787;1305
Region Hovedstaden;Fraud;1654;1412;1070;1815;3109;2125;1905;2677;7131;4835;3804;4041;4611;6964
Region Hovedstaden;Fraud by cheque;20;42;80;92;44;33;23;8;1;0;1;0;0;0
Region Hovedstaden;Fraud by abuse of position;33;18;22;13;119;28;104;52;240;743;96;136;837;202
Region Hovedstaden;Blackmail and usury;57;51;65;57;55;91;63;95;83;56;101;98;62;136
Region Hovedstaden;Fraud against creditors;22;17;15;27;21;27;16;14;13;75;8;1;10;5
Region Hovedstaden;Handling stolen goods;344;331;426;464;519;445;820;881;333;437;201;205;201;667
Region Hovedstaden;Robbery;463;491;661;469;539;503;527;381;349;300;310;295;266;304
Region Hovedstaden;Aggravated tax evasion etc.;160;106;36;60;56;55;69;83;58;166;53;40;433;424
Region Hovedstaden;Malicious damage to property;1756;1593;1419;1192;1335;1257;1119;1095;946;983;907;856;876;957
Region Hovedstaden;Receiving stolen goods by negligence;5;6;6;5;4;1;4;8;6;2;3;1;2;2
Region Hovedstaden;Offence against and infringement of property;74;54;53;34;24;61;296;156;958;1573;1500;837;3213;2506
Region Hovedstaden;Other offences, total;2168;2058;1985;2439;2493;2416;2642;2596;2266;2161;2248;2430;2426;2740
Region Hovedstaden;Offences against public authority, etc.;758;687;574;732;773;726;783;738;584;455;594;744;808;759
Region Hovedstaden;Offences by public servants;11;10;13;16;11;17;24;19;24;54;136;18;59;287
Region Hovedstaden;Perjury;27;18;16;18;25;33;12;14;28;12;9;17;6;11
Region Hovedstaden;Any other kind of false statement;427;426;402;429;441;443;446;444;421;359;348;352;272;357
Region Hovedstaden;Offences concerning money and evidence;130;159;107;151;216;339;341;380;322;220;197;233;254;251
Region Hovedstaden;Trafficking of drugs, etc.;298;253;257;318;280;313;421;425;431;409;346;536;449;461
Region Hovedstaden;Smuggling etc. of drugs;54;51;44;27;46;53;72;62;42;31;28;35;51;44
Region Hovedstaden;General public offences etc.;14;78;169;213;193;150;128;88;91;113;134;124;103;112
Region Hovedstaden;Illegal trade, etc.;34;16;16;24;27;22;43;22;68;185;121;49;23;20
Region Hovedstaden;Family relation offences;14;13;4;20;11;11;18;15;11;7;10;8;10;12
Region Hovedstaden;Involuntary manslaughter etc. in connection with traffic accident;35;50;38;44;34;50;40;52;33;51;52;36;51;66
Region Hovedstaden;Non-molestation order (Repealed in 2012);168;131;164;204;222;18;0;0;0;0;0;0;0;0
Region Hovedstaden;Invasion of privacy and defamation;198;166;181;243;214;241;314;337;211;265;273;278;340;360
Region Hovedstaden;Special acts, total;14641;15224;13294;12555;14940;17954;20029;22608;19493;20729;18577;21515;26526;24587
Region Hovedstaden;Euphoriants Act;8141;8743;7494;7088;7939;8547;10049;11127;9325;8743;8846;10705;11699;11218
Region Hovedstaden;The Offensive Weapons Act;2757;3024;2378;1707;1894;2282;2861;3163;2900;2791;2313;2844;3397;3295
Region Hovedstaden;Tax legislation and fiscal acts, etc.;38;35;35;55;143;416;423;476;318;285;240;410;451;774
Region Hovedstaden;Other special acts in criminal law;1336;1118;1197;1085;2457;3843;4241;4961;4554;5729;4818;4933;7880;6377
Region Hovedstaden;Health and social security legislation;224;258;255;299;310;295;283;302;203;154;126;158;158;686
Region Hovedstaden;Building and housing legislation;7;7;5;2;4;5;5;6;0;2;0;1;1;3
Region Hovedstaden;The environmental protection act;99;104;147;223;213;244;161;357;281;246;123;210;201;233
Region Hovedstaden;Legislation on animals, hunting, etc.;213;282;295;287;335;283;260;241;214;139;80;144;115;216
Region Hovedstaden;Legislation on employment, transport, etc.;829;848;820;1176;1082;1233;844;998;707;824;843;859;1334;1300
Region Hovedstaden;The Companies Act;22;20;10;11;30;78;50;25;19;106;6;11;46;74
Region Hovedstaden;Legislation on the national defence;154;90;91;146;83;180;344;518;495;1345;923;1048;932;233
Region Hovedstaden;Legislation applying to public utilities;19;23;54;20;25;67;26;10;2;2;7;1;6;14
Region Hovedstaden;Legislation on gambling, licencing, trade;774;657;498;445;414;471;470;413;458;320;230;128;192;109
Region Hovedstaden;Any other special legislation;28;15;15;11;11;10;12;11;17;43;22;63;114;55
Region Hovedstaden;Special legislation, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Sjælland;Nature of the offence, total;12328;12230;12726;14519;16882;17332;18163;19713;18523;22067;18609;23249;21542;23317
Region Sjælland;Penal Code, total;9034;8813;9069;10239;11052;10669;11044;10662;9397;13415;11466;11212;10583;13392
Region Sjælland;Penal code, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Region Sjælland;Sexual offenses, total;282;258;233;343;307;280;255;384;288;299;466;606;503;544
Region Sjælland;Incest, etc.;10;15;7;24;3;14;11;13;9;2;13;17;8;9
Region Sjælland;Rape, etc.;52;52;45;54;60;40;41;52;57;62;101;136;97;107
Region Sjælland;Heterosexual offence against a child under 12 (Repealed in 2013);25;31;24;39;21;27;6;0;0;0;0;0;0;0
Region Sjælland;Sexual offence against a child under 12 (New from 2013);0;0;0;0;0;0;7;24;20;13;17;39;37;43
Region Sjælland;Any other kind of heterosexual offence (Repealed in 2013);39;30;41;42;38;29;12;0;0;0;0;0;0;0
Region Sjælland;Sexual offence against a child under 15 (New from 2013);0;0;0;0;0;0;21;40;36;21;22;34;51;48
Region Sjælland;Any other kind of sexual offence (New from 2013);0;0;0;0;0;0;3;15;9;17;26;24;27;21
