Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Region Syddanmark;Other kinds of theft;19741;23221;22813;24148;24057;21859;21663;19719;16097;14179;13964;11023;9938;8032
Reported criminal offences;Region Syddanmark;Theft of/taking vehicle without the owners consent (TWOC);3744;3995;3973;3585;2966;2096;1749;1563;1494;1521;1585;1445;1370;1313
Reported criminal offences;Region Syddanmark;Theft of/taking moped without the owners consent (TWOC);2068;1798;1483;1127;812;733;540;558;401;371;324;244;212;258
Reported criminal offences;Region Syddanmark;Theft of/taking bicycle without the owners consent (TWOC);11823;12957;13652;12577;11672;10449;9225;9621;8774;8697;8135;6827;6801;5677
Reported criminal offences;Region Syddanmark;Theft of/taking other objects without the owners consent (TWOC);2563;2923;3059;3014;2746;2350;2159;2085;1968;1841;1673;1766;1731;1473
Reported criminal offences;Region Syddanmark;Theft by finding;155;141;132;186;200;172;170;174;147;160;100;154;142;189
Reported criminal offences;Region Syddanmark;Embezzlement;58;67;80;225;133;262;231;333;147;141;943;253;980;351
Reported criminal offences;Region Syddanmark;Fraud;1262;1234;1219;1735;2557;2235;2822;3295;3765;4378;4571;4868;4807;4550
Reported criminal offences;Region Syddanmark;Fraud by cheque;86;61;81;51;35;28;12;2;0;0;0;0;0;0
Reported criminal offences;Region Syddanmark;Fraud by abuse of position;30;22;9;27;32;25;123;101;219;223;184;51;29;60
Reported criminal offences;Region Syddanmark;Blackmail and usury;60;55;49;54;75;42;48;67;36;95;134;258;204;446
Reported criminal offences;Region Syddanmark;Fraud against creditors;13;23;27;45;31;31;20;19;23;20;20;24;21;47
Reported criminal offences;Region Syddanmark;Handling stolen goods;328;321;381;449;575;603;577;878;349;736;250;204;424;465
Reported criminal offences;Region Syddanmark;Robbery;559;558;592;556;448;419;429;307;284;332;295;286;269;253
Reported criminal offences;Region Syddanmark;Aggravated tax evasion etc.;56;71;28;15;26;35;30;34;44;52;21;45;57;107
Reported criminal offences;Region Syddanmark;Malicious damage to property;10080;9316;9130;7250;6393;6219;5587;5312;5109;5089;4940;4801;4734;5191
Reported criminal offences;Region Syddanmark;Receiving stolen goods by negligence;8;7;8;13;9;4;9;7;5;3;1;2;5;0
Reported criminal offences;Region Syddanmark;Offence against and infringement of property;70;74;66;63;93;106;88;478;228;161;567;280;426;264
Reported criminal offences;Region Syddanmark;Other offences, total;1417;1245;1391;1602;2202;1490;1769;1676;1872;1682;1767;2067;2344;2677
Reported criminal offences;Region Syddanmark;Offences against public authority, etc.;426;359;431;486;612;489;497;576;596;609;606;738;701;716
Reported criminal offences;Region Syddanmark;Offences by public servants;3;5;4;9;16;12;11;17;26;14;50;51;41;77
Reported criminal offences;Region Syddanmark;Perjury;22;21;17;14;20;31;27;35;17;22;18;22;30;28
Reported criminal offences;Region Syddanmark;Any other kind of false statement;221;209;211;200;251;252;227;270;222;231;206;201;262;275
Reported criminal offences;Region Syddanmark;Offences concerning money and evidence;138;101;112;140;351;106;182;207;279;204;209;187;179;252
Reported criminal offences;Region Syddanmark;Trafficking of drugs, etc.;192;159;147;250;335;172;191;193;195;132;142;179;217;220
Reported criminal offences;Region Syddanmark;Smuggling etc. of drugs;24;24;15;19;32;35;40;43;25;56;27;28;36;38
Reported criminal offences;Region Syddanmark;General public offences etc.;5;25;80;140;100;93;67;59;56;63;77;70;67;125
Reported criminal offences;Region Syddanmark;Illegal trade, etc.;3;1;7;6;5;7;28;10;10;14;8;2;5;0
Reported criminal offences;Region Syddanmark;Family relation offences;14;11;10;9;6;11;12;9;15;18;11;14;19;17
Reported criminal offences;Region Syddanmark;Involuntary manslaughter etc. in connection with traffic accident;48;47;70;39;54;49;61;43;41;40;46;74;59;61
Reported criminal offences;Region Syddanmark;Non-molestation order (Repealed in 2012);170;128;142;144;181;23;0;0;0;0;0;0;0;0
Reported criminal offences;Region Syddanmark;Invasion of privacy and defamation;151;155;145;146;239;210;426;214;390;279;367;501;728;868
Reported criminal offences;Region Syddanmark;Special acts, total;13537;14702;14606;14329;18491;17461;19317;18835;19851;19721;21648;23924;24917;25287
Reported criminal offences;Region Syddanmark;Euphoriants Act;2818;3058;2990;3185;4031;3487;3632;3685;3248;3553;4632;5025;5375;6134
Reported criminal offences;Region Syddanmark;The Offensive Weapons Act;1461;1603;1590;1352;1667;1400;1398;1299;1630;1814;1869;3489;4122;2807
Reported criminal offences;Region Syddanmark;Tax legislation and fiscal acts, etc.;313;232;314;267;261;876;1151;1122;919;1039;949;935;1234;2350
Reported criminal offences;Region Syddanmark;Other special acts in criminal law;4445;4606;4519;4494;6133;5658;7003;7306;9301;8193;8944;8385;8668;7607
Reported criminal offences;Region Syddanmark;Health and social security legislation;348;539;490;431;457;351;363;282;246;294;355;426;539;1418
Reported criminal offences;Region Syddanmark;Building and housing legislation;23;27;27;29;25;23;31;25;24;16;10;16;17;14
Reported criminal offences;Region Syddanmark;The environmental protection act;346;505;454;531;587;576;574;597;532;416;394;873;640;773
Reported criminal offences;Region Syddanmark;Legislation on animals, hunting, etc.;1498;1790;1843;1793;2130;2104;1719;1681;1378;1122;1131;1497;1452;1703
Reported criminal offences;Region Syddanmark;Legislation on employment, transport, etc.;1062;1244;1147;1114;1941;1551;1707;1311;1302;1371;1251;1666;1459;1759
Reported criminal offences;Region Syddanmark;The Companies Act;23;12;50;51;60;93;85;45;72;76;34;33;96;219
Reported criminal offences;Region Syddanmark;Legislation on the national defence;204;205;300;197;139;349;708;654;583;1233;1410;850;681;175
Reported criminal offences;Region Syddanmark;Legislation applying to public utilities;56;44;62;73;112;91;88;62;59;44;32;37;26;27
Reported criminal offences;Region Syddanmark;Legislation on gambling, licencing, trade;919;814;800;788;934;882;845;746;542;537;599;666;558;249
Reported criminal offences;Region Syddanmark;Any other special legislation;21;23;20;24;14;20;13;20;15;13;38;26;50;52
Reported criminal offences;Region Syddanmark;Special legislation, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Midtjylland;Nature of the offence, total;101943;105901;107395;106126;108705;102259;99386;91656;85964;87759;98188;102129;93665;78457
Reported criminal offences;Region Midtjylland;Penal Code, total;89462;92894;94166;91515;90434;85371;81206;75123;68467;69152;70692;66528;59115;56052
Reported criminal offences;Region Midtjylland;Penal code, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Midtjylland;Sexual offenses, total;555;474;432;582;567;535;553;481;580;660;986;1260;1111;1266
Reported criminal offences;Region Midtjylland;Incest, etc.;17;10;9;12;9;10;7;5;6;18;11;8;51;13
Reported criminal offences;Region Midtjylland;Rape, etc.;130;99;77;76;83;88;71;65;84;161;158;205;220;208
Reported criminal offences;Region Midtjylland;Heterosexual offence against a child under 12 (Repealed in 2013);27;37;29;23;36;38;10;0;0;0;0;0;0;0
Reported criminal offences;Region Midtjylland;Sexual offence against a child under 12 (New from 2013);0;0;0;0;0;0;19;23;50;34;70;57;66;207
Reported criminal offences;Region Midtjylland;Any other kind of heterosexual offence (Repealed in 2013);64;53;61;53;37;71;26;0;0;0;0;0;0;0
Reported criminal offences;Region Midtjylland;Sexual offence against a child under 15 (New from 2013);0;0;0;0;0;0;15;54;28;29;31;39;66;45
Reported criminal offences;Region Midtjylland;Any other kind of sexual offence (New from 2013);0;0;0;0;0;0;10;15;12;39;52;60;57;56
Reported criminal offences;Region Midtjylland;Homosexual offence against a child under 12 (Repealed in 2013);1;2;3;0;1;0;1;0;0;0;0;0;0;0
Reported criminal offences;Region Midtjylland;Any other kind of homosexual offence (Repealed in 2013);0;0;0;1;3;3;1;0;0;0;0;0;0;0
Reported criminal offences;Region Midtjylland;Offence against public decency by groping;98;85;75;233;164;114;124;127;79;135;156;142;159;183
Reported criminal offences;Region Midtjylland;Offence against public decency by indecent exposure;75;53;54;69;96;98;76;66;89;74;89;86;102;113
Reported criminal offences;Region Midtjylland;Any other kind of offence against public decency;86;80;74;69;86;72;149;77;114;129;149;295;267;330
Reported criminal offences;Region Midtjylland;Prostitution, etc.;57;55;50;46;52;41;44;49;118;41;270;368;123;111
Reported criminal offences;Region Midtjylland;Crimes of violence, total;3852;3992;3667;3957;3943;3753;3496;3522;3597;4918;6151;5585;5738;5221
Reported criminal offences;Region Midtjylland;Violence against public authority;492;451;503;639;680;734;717;778;779;1577;2055;1534;1399;1331
Reported criminal offences;Region Midtjylland;Unlawful assembly/disturbance of public order;0;2;2;0;1;19;1;8;10;27;24;39;79;16
Reported criminal offences;Region Midtjylland;Homicide;10;12;8;9;5;6;12;13;9;8;8;10;7;11
Reported criminal offences;Region Midtjylland;Attempted homicide;39;35;33;28;23;17;20;22;27;20;30;22;20;21
Reported criminal offences;Region Midtjylland;Coercive control;0;0;0;0;0;0;0;0;0;0;0;0;30;41
Reported criminal offences;Region Midtjylland;Common assault;2160;2242;1961;1987;2001;1850;1680;1642;1723;1967;2098;2194;2450;2013
Reported criminal offences;Region Midtjylland;Assault causing actual bodily harm;335;402;349;443;401;353;317;286;291;328;376;365;404;390
Reported criminal offences;Region Midtjylland;Particularly aggravated assault;2;2;2;1;2;3;1;0;2;2;2;3;3;1
Reported criminal offences;Region Midtjylland;Unprovoked assault;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Midtjylland;Any other kind of intentional trespass to the person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Midtjylland;Intentional bodily harm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Midtjylland;Causing death or bodily harm by negligence;14;9;9;4;5;4;2;4;4;5;4;5;5;7
Reported criminal offences;Region Midtjylland;Offences against life and limb;60;77;79;82;75;56;67;69;74;100;485;275;202;185
Reported criminal offences;Region Midtjylland;Offences against personal liberty;38;47;47;60;49;45;98;67;50;67;96;137;100;139
Reported criminal offences;Region Midtjylland;Threats;702;713;674;704;701;666;581;633;628;817;973;1001;1039;1066
Reported criminal offences;Region Midtjylland;Offences against property, total;83862;87264;88950;85773;84336;79854;75942;69972;63095;61957;62101;57845;50126;47401
Reported criminal offences;Region Midtjylland;Forgery;255;240;227;330;328;443;254;222;226;355;327;231;394;389
Reported criminal offences;Region Midtjylland;Cheque forgery;77;37;92;67;20;41;14;54;4;11;0;0;0;0
Reported criminal offences;Region Midtjylland;Arson;229;189;180;136;138;83;116;91;79;121;129;203;298;292
Reported criminal offences;Region Midtjylland;Burglary - business and community;6782;6859;8096;6737;5747;4629;4986;3774;3562;3395;3619;3493;2954;2772
Reported criminal offences;Region Midtjylland;Residential burglaries;9011;9649;8798;8379;8881;8989;8304;7700;7162;6285;5974;6268;4738;3944
Reported criminal offences;Region Midtjylland;Burglary (uninhabited buildings);2929;3465;4371;3944;4036;3165;3097;2657;2664;2601;2428;2513;2369;2527
Reported criminal offences;Region Midtjylland;Theft from conveyances;10192;9401;8493;9631;8692;6438;6058;5349;5195;4272;4411;5691;4527;3581
Reported criminal offences;Region Midtjylland;Shoplifting, etc.;3307;3851;4034;3632;3522;4082;3771;3629;3463;3369;3165;3506;3325;3337
Reported criminal offences;Region Midtjylland;Other kinds of theft;20431;23033;22400;23180;23967;25351;23718;21171;17448;16998;15298;11059;9226;7734
Reported criminal offences;Region Midtjylland;Theft of/taking vehicle without the owners consent (TWOC);3798;4171;4287;3740;3027;2331;2041;1645;1447;1460;1605;1422;1278;1232
Reported criminal offences;Region Midtjylland;Theft of/taking moped without the owners consent (TWOC);1864;1404;1116;806;710;624;518;397;310;222;248;226;172;175
Reported criminal offences;Region Midtjylland;Theft of/taking bicycle without the owners consent (TWOC);12257;12560;14067;13360;13648;12561;11016;10311;8880;8088;8708;7540;7092;6087
Reported criminal offences;Region Midtjylland;Theft of/taking other objects without the owners consent (TWOC);2032;2286;2486;2199;2210;2050;1907;1875;1533;1447;1556;1417;1278;1337
Reported criminal offences;Region Midtjylland;Theft by finding;112;128;101;123;139;113;119;105;87;73;99;66;104;119
Reported criminal offences;Region Midtjylland;Embezzlement;83;69;71;82;58;131;105;133;143;97;697;705;730;366
Reported criminal offences;Region Midtjylland;Fraud;981;1015;1263;1897;1786;1944;2695;3508;3794;5915;7034;5985;5198;5309
Reported criminal offences;Region Midtjylland;Fraud by cheque;44;75;53;57;29;23;24;35;5;3;1;0;0;0
Reported criminal offences;Region Midtjylland;Fraud by abuse of position;11;17;15;20;38;38;96;48;14;41;148;1168;272;47
Reported criminal offences;Region Midtjylland;Blackmail and usury;20;31;32;37;39;50;74;75;98;57;132;381;171;614
Reported criminal offences;Region Midtjylland;Fraud against creditors;17;10;18;36;31;17;18;15;28;16;12;24;26;27
Reported criminal offences;Region Midtjylland;Handling stolen goods;377;294;328;397;359;383;365;459;249;216;611;177;666;381
Reported criminal offences;Region Midtjylland;Robbery;469;588;556;480;492;424;419;394;353;349;354;285;249;270
Reported criminal offences;Region Midtjylland;Aggravated tax evasion etc.;102;102;50;68;57;20;35;32;37;36;35;82;44;55
Reported criminal offences;Region Midtjylland;Malicious damage to property;8436;7747;7771;6375;6333;5859;6061;5315;5458;5551;5135;4770;4725;5089
Reported criminal offences;Region Midtjylland;Receiving stolen goods by negligence;3;3;3;1;7;4;7;3;2;1;0;3;4;2
Reported criminal offences;Region Midtjylland;Offence against and infringement of property;43;40;42;59;42;61;124;975;854;978;375;630;286;1715
Reported criminal offences;Region Midtjylland;Other offences, total;1193;1164;1117;1203;1588;1229;1215;1148;1195;1617;1454;1838;2140;2164
Reported criminal offences;Region Midtjylland;Offences against public authority, etc.;229;294;235;310;292;353;344;315;311;360;490;710;575;630
Reported criminal offences;Region Midtjylland;Offences by public servants;7;16;7;6;6;6;6;24;23;61;18;163;30;87
Reported criminal offences;Region Midtjylland;Perjury;21;18;31;34;48;26;25;16;25;19;18;27;16;24
Reported criminal offences;Region Midtjylland;Any other kind of false statement;251;195;192;198;269;247;251;222;242;200;209;185;293;264
Reported criminal offences;Region Midtjylland;Offences concerning money and evidence;151;146;91;97;98;126;141;162;173;522;161;102;447;116
Reported criminal offences;Region Midtjylland;Trafficking of drugs, etc.;137;115;115;156;154;153;126;98;123;103;123;168;198;280
Reported criminal offences;Region Midtjylland;Smuggling etc. of drugs;4;24;5;9;6;7;15;4;10;5;4;32;11;20
Reported criminal offences;Region Midtjylland;General public offences etc.;12;30;65;69;71;64;57;67;42;84;80;45;83;56
Reported criminal offences;Region Midtjylland;Illegal trade, etc.;12;4;10;12;14;11;26;13;6;6;4;7;3;0
Reported criminal offences;Region Midtjylland;Family relation offences;7;13;14;10;7;20;15;12;10;12;17;14;12;8
Reported criminal offences;Region Midtjylland;Involuntary manslaughter etc. in connection with traffic accident;78;70;79;86;61;56;59;55;51;49;61;69;61;50
Reported criminal offences;Region Midtjylland;Non-molestation order (Repealed in 2012);151;134;135;83;428;17;0;0;0;0;0;0;0;0
Reported criminal offences;Region Midtjylland;Invasion of privacy and defamation;133;105;138;133;134;143;150;160;179;196;269;316;411;629
Reported criminal offences;Region Midtjylland;Special acts, total;12481;13007;13229;14611;18271;16888;18180;16533;17497;18607;27496;35601;34550;22405
Reported criminal offences;Region Midtjylland;Euphoriants Act;3306;3547;3465;3648;4227;4542;4669;4351;4367;3671;4322;4898;5814;5445
Reported criminal offences;Region Midtjylland;The Offensive Weapons Act;1285;1595;1571;1380;1363;1206;1317;1227;1447;1653;1763;3310;4010;2726
Reported criminal offences;Region Midtjylland;Tax legislation and fiscal acts, etc.;250;205;191;325;359;594;921;824;719;643;813;759;870;1312
Reported criminal offences;Region Midtjylland;Other special acts in criminal law;3654;3603;3435;4615;6618;5638;6359;6150;7412;8370;15963;21464;18438;7787
Reported criminal offences;Region Midtjylland;Health and social security legislation;377;409;442;378;454;429;374;351;286;322;325;414;487;837
Reported criminal offences;Region Midtjylland;Building and housing legislation;21;41;38;45;28;30;30;22;23;36;16;18;13;23
Reported criminal offences;Region Midtjylland;The environmental protection act;214;386;475;581;492;487;523;432;415;378;379;958;528;682
Reported criminal offences;Region Midtjylland;Legislation on animals, hunting, etc.;1592;1599;1572;1516;1505;1341;1204;1038;944;893;911;1017;1069;1216
Reported criminal offences;Region Midtjylland;Legislation on employment, transport, etc.;794;744;1206;1194;2180;1339;1415;889;828;1186;1276;1534;2055;1739
Reported criminal offences;Region Midtjylland;The Companies Act;20;24;53;29;49;130;68;43;46;75;341;50;163;164
Reported criminal offences;Region Midtjylland;Legislation on the national defence;191;151;197;171;98;202;408;369;384;795;858;625;578;174
Reported criminal offences;Region Midtjylland;Legislation applying to public utilities;41;56;40;46;72;39;37;29;25;15;7;7;12;11
Reported criminal offences;Region Midtjylland;Legislation on gambling, licencing, trade;726;638;529;670;810;894;839;777;582;561;495;528;500;268
Reported criminal offences;Region Midtjylland;Any other special legislation;10;9;15;13;16;17;16;31;19;9;27;19;13;21
Reported criminal offences;Region Midtjylland;Special legislation, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Nordjylland;Nature of the offence, total;44020;46149;47505;44721;49182;43844;44180;39929;37838;37160;37992;36630;33860;28068
Reported criminal offences;Region Nordjylland;Penal Code, total;38244;40503;40633;37490;39655;34646;33708;29560;28342;27243;27387;25346;22677;19439
Reported criminal offences;Region Nordjylland;Penal code, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Nordjylland;Sexual offenses, total;275;247;238;264;251;264;201;278;236;338;498;712;527;505
Reported criminal offences;Region Nordjylland;Incest, etc.;4;11;8;12;9;14;8;4;5;1;10;4;2;1
Reported criminal offences;Region Nordjylland;Rape, etc.;66;45;40;48;47;45;35;50;54;88;105;92;94;115
Reported criminal offences;Region Nordjylland;Heterosexual offence against a child under 12 (Repealed in 2013);17;20;19;29;26;14;12;0;0;0;0;0;0;0
Reported criminal offences;Region Nordjylland;Sexual offence against a child under 12 (New from 2013);0;0;0;0;0;0;17;24;17;22;27;26;21;22
Reported criminal offences;Region Nordjylland;Any other kind of heterosexual offence (Repealed in 2013);33;43;33;37;28;29;16;0;0;0;0;0;0;0
Reported criminal offences;Region Nordjylland;Sexual offence against a child under 15 (New from 2013);0;0;0;0;0;0;5;22;30;25;26;29;35;37
Reported criminal offences;Region Nordjylland;Any other kind of sexual offence (New from 2013);0;0;0;0;0;0;7;5;12;23;18;22;39;24
Reported criminal offences;Region Nordjylland;Homosexual offence against a child under 12 (Repealed in 2013);1;0;1;3;0;6;0;0;0;0;0;0;0;0
Reported criminal offences;Region Nordjylland;Any other kind of homosexual offence (Repealed in 2013);6;1;2;3;0;1;0;0;0;0;0;0;0;0
Reported criminal offences;Region Nordjylland;Offence against public decency by groping;37;31;32;33;48;46;34;67;39;76;66;69;74;84
Reported criminal offences;Region Nordjylland;Offence against public decency by indecent exposure;37;25;36;31;34;19;25;32;24;35;34;38;58;64
Reported criminal offences;Region Nordjylland;Any other kind of offence against public decency;60;49;48;55;42;72;25;47;47;48;119;271;129;124
Reported criminal offences;Region Nordjylland;Prostitution, etc.;14;22;19;13;17;18;17;27;8;20;93;161;75;34
Reported criminal offences;Region Nordjylland;Crimes of violence, total;1726;1607;1603;1678;1688;1613;1502;1410;1527;1808;2239;2128;2137;2056
Reported criminal offences;Region Nordjylland;Violence against public authority;217;232;197;255;217;273;266;282;305;421;504;477;455;494
Reported criminal offences;Region Nordjylland;Unlawful assembly/disturbance of public order;0;0;1;0;1;0;0;13;1;1;3;4;3;0
Reported criminal offences;Region Nordjylland;Homicide;5;4;4;3;0;2;3;5;6;5;11;5;1;4
Reported criminal offences;Region Nordjylland;Attempted homicide;15;10;9;7;9;9;10;4;4;6;11;10;3;8
Reported criminal offences;Region Nordjylland;Coercive control;0;0;0;0;0;0;0;0;0;0;0;0;12;15
Reported criminal offences;Region Nordjylland;Common assault;981;902;872;869;925;811;796;657;720;869;876;811;905;772
Reported criminal offences;Region Nordjylland;Assault causing actual bodily harm;118;137;109;140;145;152;135;119;112;133;145;141;142;153
Reported criminal offences;Region Nordjylland;Particularly aggravated assault;15;0;3;0;1;1;1;2;2;2;1;1;1;2
Reported criminal offences;Region Nordjylland;Unprovoked assault;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Nordjylland;Any other kind of intentional trespass to the person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Nordjylland;Intentional bodily harm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reported criminal offences;Region Nordjylland;Causing death or bodily harm by negligence;5;3;3;1;2;0;2;5;7;2;3;4;2;1
Reported criminal offences;Region Nordjylland;Offences against life and limb;34;28;36;40;35;39;31;26;40;42;224;156;76;95
Reported criminal offences;Region Nordjylland;Offences against personal liberty;20;20;21;30;18;28;13;27;22;22;52;38;33;38
Reported criminal offences;Region Nordjylland;Threats;316;271;348;333;335;298;245;270;308;305;409;481;504;474
Reported criminal offences;Region Nordjylland;Offences against property, total;35831;38206;38249;34982;37170;32293;31503;27438;26114;24620;24022;21778;19277;16130
Reported criminal offences;Region Nordjylland;Forgery;119;113;122;128;186;170;342;323;201;197;297;157;101;240
Reported criminal offences;Region Nordjylland;Cheque forgery;40;23;22;7;3;13;0;1;12;8;0;0;0;0
Reported criminal offences;Region Nordjylland;Arson;107;96;137;186;156;128;122;89;70;123;96;123;83;115
Reported criminal offences;Region Nordjylland;Burglary - business and community;3106;3517;4177;3579;2892;2091;1786;1320;1325;1243;1108;945;998;860
Reported criminal offences;Region Nordjylland;Residential burglaries;3067;3605;3839;3343;3529;3322;3304;2608;3057;2527;2635;2495;1730;1186
Reported criminal offences;Region Nordjylland;Burglary (uninhabited buildings);2477;2600;2862;2880;2899;2208;1870;1601;1640;1536;1569;1391;1557;1148
Reported criminal offences;Region Nordjylland;Theft from conveyances;3352;2979;2574;2848;2481;1832;1593;1375;961;970;1267;1063;858;728
Reported criminal offences;Region Nordjylland;Shoplifting, etc.;1534;1447;1697;1377;1418;1499;1567;1653;1572;1578;1487;1523;1273;1191
Reported criminal offences;Region Nordjylland;Other kinds of theft;8402;9933;9213;8851;11183;10485;10750;8552;6545;5942;5700;4401;3916;3030
Reported criminal offences;Region Nordjylland;Theft of/taking vehicle without the owners consent (TWOC);1974;2254;2018;1711;1577;947;860;686;660;637;688;552;513;426
Reported criminal offences;Region Nordjylland;Theft of/taking moped without the owners consent (TWOC);895;743;640;456;427;326;185;144;165;125;115;104;103;89
Reported criminal offences;Region Nordjylland;Theft of/taking bicycle without the owners consent (TWOC);4915;5035;5308;4500;4870;4307;4325;3892;3367;2856;2818;2267;2372;1906
Reported criminal offences;Region Nordjylland;Theft of/taking other objects without the owners consent (TWOC);1059;1320;1257;1180;1331;1114;1043;820;794;805;682;720;697;563
Reported criminal offences;Region Nordjylland;Theft by finding;70;69;62;75;67;65;42;79;45;51;65;51;90;58
Reported criminal offences;Region Nordjylland;Embezzlement;24;18;24;35;35;34;26;153;255;980;352;1028;35;158
Reported criminal offences;Region Nordjylland;Fraud;541;590;714;816;905;804;929;1659;2047;2519;2805;2438;2670;1874
Reported criminal offences;Region Nordjylland;Fraud by cheque;20;31;21;25;27;10;5;3;20;7;0;0;0;0
Reported criminal offences;Region Nordjylland;Fraud by abuse of position;6;12;7;7;10;14;50;2;28;196;69;35;101;42
Reported criminal offences;Region Nordjylland;Blackmail and usury;27;10;12;19;20;11;12;18;27;28;93;143;67;217
Reported criminal offences;Region Nordjylland;Fraud against creditors;6;2;14;22;16;16;8;30;15;7;10;10;19;19
Reported criminal offences;Region Nordjylland;Handling stolen goods;142;137;167;156;155;115;166;149;96;83;49;45;38;63
Reported criminal offences;Region Nordjylland;Robbery;155;191;172;157;202;136;115;89;106;92;126;112;120;81
Reported criminal offences;Region Nordjylland;Aggravated tax evasion etc.;48;34;18;17;18;20;10;12;19;19;25;19;11;33
Reported criminal offences;Region Nordjylland;Malicious damage to property;3724;3430;3138;2576;2728;2603;2369;2130;2173;2047;1924;1963;1868;1951
Reported criminal offences;Region Nordjylland;Receiving stolen goods by negligence;3;0;3;3;3;6;0;1;1;0;0;0;0;1
Reported criminal offences;Region Nordjylland;Offence against and infringement of property;18;17;31;28;32;17;24;49;913;44;42;193;57;151
Reported criminal offences;Region Nordjylland;Other offences, total;412;443;543;566;546;476;502;434;465;477;628;728;736;748
Reported criminal offences;Region Nordjylland;Offences against public authority, etc.;75;81;118;121;139;111;92;91;97;84;134;155;138;159
Reported criminal offences;Region Nordjylland;Offences by public servants;3;9;5;11;5;5;5;4;5;9;16;42;20;14
Reported criminal offences;Region Nordjylland;Perjury;5;5;5;8;7;7;11;8;14;6;2;8;2;3
Reported criminal offences;Region Nordjylland;Any other kind of false statement;65;90;80;83;105;91;92;69;78;72;77;88;61;86
Reported criminal offences;Region Nordjylland;Offences concerning money and evidence;53;44;90;93;44;39;59;50;59;62;65;39;52;26
Reported criminal offences;Region Nordjylland;Trafficking of drugs, etc.;63;55;41;54;64;61;105;77;46;58;65;74;86;83
Reported criminal offences;Region Nordjylland;Smuggling etc. of drugs;6;8;4;0;2;4;4;4;4;1;9;8;4;2
Reported criminal offences;Region Nordjylland;General public offences etc.;8;10;52;44;27;42;20;13;20;37;37;36;36;21
Reported criminal offences;Region Nordjylland;Illegal trade, etc.;1;0;0;7;0;0;0;1;1;0;5;1;0;0
Reported criminal offences;Region Nordjylland;Family relation offences;6;3;4;5;7;3;3;5;4;6;3;12;8;5
Reported criminal offences;Region Nordjylland;Involuntary manslaughter etc. in connection with traffic accident;28;23;24;34;35;23;27;13;16;24;25;24;26;17
Reported criminal offences;Region Nordjylland;Non-molestation order (Repealed in 2012);40;49;50;49;37;15;0;0;0;0;0;0;0;0
Reported criminal offences;Region Nordjylland;Invasion of privacy and defamation;59;66;70;57;74;75;84;99;121;118;190;241;303;332
Reported criminal offences;Region Nordjylland;Special acts, total;5776;5646;6872;7231;9527;9198;10472;10369;9496;9917;10605;11284;11183;8629
Reported criminal offences;Region Nordjylland;Euphoriants Act;1028;1116;1305;1369;1741;1706;2219;2221;1811;1932;2216;2176;2037;1656
Reported criminal offences;Region Nordjylland;The Offensive Weapons Act;445;503;569;600;705;603;560;467;649;718;791;1637;1957;1218
Reported criminal offences;Region Nordjylland;Tax legislation and fiscal acts, etc.;111;126;98;153;142;530;689;620;511;483;469;693;662;933
Reported criminal offences;Region Nordjylland;Other special acts in criminal law;1684;1401;1593;2114;3705;3107;3541;3833;3796;3531;3591;3226;3343;1953
Reported criminal offences;Region Nordjylland;Health and social security legislation;267;323;253;288;270;302;261;203;220;231;224;191;221;266
Reported criminal offences;Region Nordjylland;Building and housing legislation;6;13;16;20;9;9;9;0;7;5;3;6;7;15
Reported criminal offences;Region Nordjylland;The environmental protection act;167;245;277;275;241;273;312;420;302;311;268;514;353;438
Reported criminal offences;Region Nordjylland;Legislation on animals, hunting, etc.;1036;1079;1156;1226;1271;1026;897;785;652;576;652;760;764;806
Reported criminal offences;Region Nordjylland;Legislation on employment, transport, etc.;381;305;892;480;587;673;735;629;571;594;659;737;869;989
Reported criminal offences;Region Nordjylland;The Companies Act;12;9;18;22;23;55;40;30;40;43;35;30;44;76
Reported criminal offences;Region Nordjylland;Legislation on the national defence;208;139;210;142;146;323;572;560;520;1088;1231;744;433;80
Reported criminal offences;Region Nordjylland;Legislation applying to public utilities;16;17;26;26;67;40;49;49;51;28;17;19;16;7
Reported criminal offences;Region Nordjylland;Legislation on gambling, licencing, trade;412;367;459;516;613;549;584;464;357;367;435;534;458;170
Reported criminal offences;Region Nordjylland;Any other special legislation;3;3;0;0;7;2;4;88;9;10;14;17;19;22
Reported criminal offences;Region Nordjylland;Special legislation, unspecified;0;0;0;0;0;0;0;0;0;0;0;0;0;0
