Reported / Charged;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Reported criminal offences;Region Hovedstaden;Fraud;2828;2486;2160;3058;4271;3114;3750;5290;14015;13801;12112;11473;12930;13405
Reported criminal offences;Region Hovedstaden;Fraud by cheque;26;65;103;134;53;39;30;8;3;1;2;0;1;2
Reported criminal offences;Region Hovedstaden;Fraud by abuse of position;46;29;34;22;137;103;121;68;265;785;347;186;1002;239
Reported criminal offences;Region Hovedstaden;Blackmail and usury;70;67;86;79;70;112;96;144;143;150;373;724;459;1464
Reported criminal offences;Region Hovedstaden;Fraud against creditors;28;25;27;41;35;49;49;33;32;102;24;23;42;28
Reported criminal offences;Region Hovedstaden;Handling stolen goods;352;341;443;480;535;505;864;975;360;467;222;235;287;852
Reported criminal offences;Region Hovedstaden;Robbery;1485;1613;2200;1755;1749;1717;1938;1291;1067;1177;1048;956;857;839
Reported criminal offences;Region Hovedstaden;Aggravated tax evasion etc.;202;171;65;133;134;151;219;241;192;289;185;194;580;601
Reported criminal offences;Region Hovedstaden;Malicious damage to property;13375;13096;12064;10218;9270;8699;7825;8132;8019;7512;7553;6732;7278;7582
Reported criminal offences;Region Hovedstaden;Receiving stolen goods by negligence;5;6;6;5;4;1;4;8;6;3;4;1;2;2
Reported criminal offences;Region Hovedstaden;Offence against and infringement of property;102;88;80;50;47;98;446;519;1268;1764;1692;1125;3780;3152
Reported criminal offences;Region Hovedstaden;Other offences, total;2716;2669;2394;2886;3012;2901;3698;3456;3354;3043;3279;3627;4032;4338
Reported criminal offences;Region Hovedstaden;Offences against public authority, etc.;824;783;647;779;860;801;925;882;811;580;683;847;936;868
Reported criminal offences;Region Hovedstaden;Offences by public servants;12;50;15;20;16;22;34;27;36;75;160;59;112;350
Reported criminal offences;Region Hovedstaden;Perjury;31;22;17;29;30;40;24;22;56;27;31;39;29;26
Reported criminal offences;Region Hovedstaden;Any other kind of false statement;450;469;453;474;492;484;487;478;484;407;429;440;392;478
Reported criminal offences;Region Hovedstaden;Offences concerning money and evidence;490;472;273;364;420;570;1001;794;854;521;512;602;659;465
Reported criminal offences;Region Hovedstaden;Trafficking of drugs, etc.;303;263;270;326;286;326;439;451;452;422;402;596;505;523
Reported criminal offences;Region Hovedstaden;Smuggling etc. of drugs;58;55;51;32;49;54;88;78;46;32;29;55;67;58
Reported criminal offences;Region Hovedstaden;General public offences etc.;17;80;180;227;211;161;162;128;111;138;210;200;175;184
Reported criminal offences;Region Hovedstaden;Illegal trade, etc.;42;17;17;33;36;44;64;38;93;230;149;52;24;22
Reported criminal offences;Region Hovedstaden;Family relation offences;21;23;6;29;21;22;27;27;20;22;30;26;37;29
Reported criminal offences;Region Hovedstaden;Involuntary manslaughter etc. in connection with traffic accident;37;50;38;44;35;51;41;53;33;52;53;37;53;66
