;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;Tønder;3188;3324;3189;3109;3410;2828;2814;2673;2388;2178;2154;2610;3105;2224
;;Varde;3325;3570;3687;3765;3742;3257;3043;2921;2744;2663;2841;3059;2911;2373
;;Vejen;3396;3271;3296;3611;3144;2955;3402;2470;2276;2218;2103;2183;2225;2107
;;Vejle;8620;9735;10534;10013;11018;8992;8803;8270;8075;7461;7778;8162;7862;6400
;;Aabenraa;6635;7349;7255;6569;6555;5627;5355;5553;5783;5671;5645;5285;5344;5528
;;Favrskov;2567;2579;2366;2728;2761;2426;2378;2064;2051;1982;3163;2039;1954;1785
;;Hedensted;2451;2581;2881;2691;2980;2577;2288;2030;2123;2209;2267;2294;2113;1727
;;Horsens;7242;7811;8080;7726;8121;7250;6946;6142;5928;5606;6425;6442;6375;5034
;;Norddjurs;3377;3448;3337;3013;3031;2511;2463;2280;2271;2527;1985;2245;2264;2006
;;Odder;1110;1191;1358;1291;1230;1267;1068;1004;869;936;1030;949;802;734
;;Randers;8406;9040;9707;9206;9183;8038;8093;7257;7278;8024;7134;6540;7777;7305
;;Samsø;209;184;134;189;174;156;154;152;186;177;158;177;163;154
;;Silkeborg;6112;6645;6483;6557;6359;6215;5716;5415;4752;4547;5574;5238;4704;4374
;;Skanderborg;3561;3549;3960;3794;4105;4125;3942;3525;3149;3109;3380;2933;2795;2082
;;Syddjurs;2610;2958;3226;3096;2890;2628;2784;2327;2269;2282;2467;2203;1961;1941
;;Aarhus;36884;36637;36443;37205;40270;39099;38435;36011;32220;33315;32480;31581;30534;28031
;;Herning;5609;6303;6778;6255;5985;6036;5820;5246;5783;5933;6048;6262;5807;5404
;;Holstebro;4267;4546;4270;3983;3975;4030;3844;3573;3314;3086;4212;3922;3860;3134
;;Ikast-Brande;2533;2797;2699;3155;3013;2749;2321;2151;1871;2518;10032;16093;10939;4282
;;Lemvig;996;888;815;888;861;863;734;675;677;596;631;704;759;794
;;Ringkøbing-Skjern;3452;3598;3515;3655;3281;3200;2937;2757;2514;2526;2713;2420;2087;1958
;;Skive;3263;3490;3540;3181;3386;2775;2930;2568;2574;2279;2340;2333;2559;2183
;;Struer;1115;1483;1355;1119;1149;1099;1061;1041;1046;993;1017;894;1257;979
;;Viborg;6179;6173;6448;6394;5951;5215;5472;5438;5089;5114;5132;6860;4955;4550
;;Brønderslev;2438;2171;2038;2206;2451;1981;2105;1901;1613;1673;1782;1798;1605;1428
;;Frederikshavn;4929;5175;5968;5027;5408;4226;4142;3459;3724;4028;4255;4695;3579;2932
