;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;Vesthimmerlands;220;251;304;202;204;223;241;161;84;135;113;75;84;105
;;Aalborg;1013;1182;1327;1316;1114;548;410;342;325;316;329;258;324;232
;;Unknown municipality;43;58;46;79;53;69;39;28;28;29;32;69;45;32
;Residential burglaries;Copenhagen;3427;3577;4496;4670;4123;3204;3447;2705;2268;2166;1708;1632;1629;889
;;Frederiksberg;605;512;595;695;541;574;632;500;398;243;258;313;250;141
;;Dragør;67;90;99;88;84;111;110;73;129;106;127;93;148;100
;;Tårnby;143;250;379;292;205;228;355;288;261;247;196;236;141;90
;;Albertslund;212;262;306;292;320;322;371;242;156;98;97;89;100;71
;;Ballerup;297;303;458;404;378;388;596;461;322;463;371;256;296;204
;;Brøndby;226;279;328;294;341;362;317;271;232;312;243;188;173;128
;;Gentofte;589;439;925;896;932;957;830;840;635;956;975;657;672;407
;;Gladsaxe;399;454;726;728;654;529;520;500;395;393;338;405;583;313
;;Glostrup;161;202;262;171;191;215;199;127;211;180;163;121;126;92
;;Herlev;171;155;284;250;242;222;314;227;266;225;142;185;211;139
;;Hvidovre;532;583;703;721;532;518;468;405;409;447;371;429;287;374
;;Høje-Taastrup;282;500;701;547;568;580;521;320;319;353;238;252;268;277
;;Ishøj;234;369;365;227;171;200;213;160;127;130;113;75;43;65
;;Lyngby-Taarbæk;344;267;442;369;493;546;449;363;452;435;403;431;413;263
;;Rødovre;287;355;485;546;490;382;416;339;379;321;254;203;226;283
;;Vallensbæk;79;127;246;170;218;216;183;206;139;116;125;132;104;83
;;Allerød;147;247;187;201;269;206;199;212;273;306;253;243;197;115
;;Egedal;247;307;399;314;498;407;334;401;304;409;325;392;196;172
;;Fredensborg;322;366;533;546;602;515;446;422;381;422;244;216;228;180
;;Frederikssund;228;203;245;298;355;336;393;351;220;258;199;233;238;162
;;Furesø;300;342;351;430;431;376;403;492;361;541;366;324;210;194
;;Gribskov;180;344;362;323;341;384;297;356;297;316;303;307;220;148
;;Halsnæs;334;283;194;247;239;248;279;262;153;105;196;107;122;62
;;Helsingør;423;545;806;620;698;764;670;561;722;643;655;415;454;252
;;Hillerød;186;281;290;367;357;371;341;414;482;391;284;307;307;150
;;Hørsholm;120;122;223;223;291;272;237;183;304;360;266;238;263;180
;;Rudersdal;426;369;729;665;838;748;540;522;637;826;681;669;591;355
;;Bornholm;37;49;49;31;58;29;38;16;29;24;13;20;30;7
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;522;797;963;852;964;612;607;465;303;424;283;275;345;256
;;Køge;378;694;789;621;643;708;692;581;349;428;336;301;306;233
;;Lejre;193;297;299;209;186;262;323;221;148;151;159;127;106;87
;;Roskilde;471;632;719;559;734;828;782;457;431;465;377;475;328;239
;;Solrød;207;256;379;471;312;233;306;184;145;135;139;134;153;128
;;Faxe;261;436;357;304;435;495;400;324;254;210;221;203;152;131
;;Guldborgsund;321;505;681;447;426;301;395;350;261;225;404;282;287;196
;;Holbæk;559;863;700;679;577;673;499;477;341;419;405;320;339;263
;;Kalundborg;436;691;541;385;451;429;435;345;216;217;259;229;188;112
;;Lolland;196;453;635;570;464;317;347;266;228;264;291;259;329;154
;;Næstved;457;622;547;521;675;555;508;562;437;323;392;399;254;268
;;Odsherred;188;238;258;215;199;206;195;166;101;131;234;136;175;147
;;Ringsted;244;265;377;366;292;267;280;331;257;284;198;187;130;92
;;Slagelse;508;691;704;636;682;652;414;430;358;426;383;418;359;198
;;Sorø;255;303;298;377;305;268;290;310;212;188;256;184;199;93
;;Stevns;106;173;182;148;108;108;168;122;88;91;80;151;104;66
;;Vordingborg;283;333;437;381;428;372;275;300;202;193;191;233;158;140
;;Assens;237;277;291;268;205;327;332;299;238;238;200;248;233;185
;;Faaborg-Midtfyn;166;293;400;336;257;430;268;330;288;180;217;280;234;189
;;Kerteminde;148;157;179;126;134;172;238;258;177;142;157;158;140;78
;;Langeland;22;49;91;40;25;51;44;29;34;30;54;51;39;35
;;Middelfart;155;272;347;351;355;350;395;319;220;212;213;230;229;123
;;Nordfyns;240;239;286;261;205;254;223;200;181;194;142;167;104;84
;;Nyborg;120;195;230;203;163;239;173;218;219;152;148;175;219;140
;;Odense;1831;2181;2286;1706;1715;1659;1566;1326;1430;1272;1006;1268;946;746
;;Svendborg;163;466;581;292;275;362;306;297;191;135;274;197;232;147
;;Ærø;3;6;5;6;0;5;3;10;3;3;11;7;12;2
;;Billund;115;179;177;232;141;274;232;180;173;103;129;150;144;89
;;Esbjerg;555;760;686;773;852;889;725;759;568;708;572;569;478;312
;;Fanø;4;0;4;4;2;1;16;3;1;6;0;15;12;2
;;Fredericia;241;407;458;480;414;440;441;308;326;366;319;321;284;193
;;Haderslev;437;545;595;454;390;373;447;611;409;438;315;173;208;128
;;Kolding;846;1184;1161;851;816;709;776;596;739;543;604;636;467;227
;;Sønderborg;496;562;708;583;752;518;572;728;500;484;376;669;317;108
;;Tønder;159;257;196;183;209;262;302;212;158;136;104;167;190;103
;;Varde;240;331;238;285;366;361;328;283;214;284;259;244;171;140
;;Vejen;306;371;395;438;309;340;401;246;198;206;212;148;152;112
;;Vejle;749;1087;1201;1248;1424;1072;978;693;656;568;502;677;551;277
;;Aabenraa;369;442;443;516;555;510;498;493;375;270;185;190;218;230
;;Favrskov;341;364;302;341;404;444;413;348;354;298;291;243;176;127
;;Hedensted;252;302;394;389;452;479;306;259;238;277;187;237;195;104
;;Horsens;555;847;691;595;557;499;548;391;452;421;445;322;342;267
;;Norddjurs;304;455;437;214;189;225;244;238;172;161;149;153;118;103
;;Odder;101;99;116;104;83;141;121;111;87;81;104;96;80;53
;;Randers;620;743;792;678;816;697;601;607;544;579;508;446;446;339
;;Samsø;5;4;2;3;5;6;6;3;1;1;0;5;9;7
;;Silkeborg;586;452;502;643;593;623;552;478;469;322;416;538;334;324
;;Skanderborg;373;343;389;456;398;463;444;350;417;365;477;329;255;220
;;Syddjurs;262;315;312;292;318;311;288;401;250;276;228;221;205;109
;;Aarhus;3741;3688;2654;2469;2990;2771;2623;2729;2280;2016;1753;1899;1459;1166
;;Herning;434;493;546;498;478;458;460;347;402;292;278;387;215;239
;;Holstebro;202;313;323;292;227;280;198;218;212;231;190;277;152;169
;;Ikast-Brande;243;232;248;337;371;397;267;217;230;154;232;229;161;147
;;Lemvig;55;33;40;44;63;60;52;50;39;37;18;25;29;33
;;Ringkøbing-Skjern;182;198;200;218;264;346;369;257;228;214;185;224;147;148
;;Skive;162;183;219;155;156;176;155;137;198;117;126;146;101;80
;;Struer;59;73;71;45;59;94;64;44;57;49;31;53;54;75
;;Viborg;534;512;560;606;458;519;593;515;532;394;356;438;260;234
;;Brønderslev;204;188;206;192;234;213;209;215;222;136;332;212;121;70
;;Frederikshavn;317;314;420;282;310;241;251;145;301;280;297;311;205;128
;;Hjørring;339;304;405;348;316;226;321;128;333;317;429;256;316;115
;;Jammerbugt;201;264;246;225;206;193;214;146;175;151;256;185;113;80
;;Læsø;1;0;0;0;0;0;7;2;0;0;0;4;1;0
;;Mariagerfjord;165;239;340;258;205;228;310;199;261;200;143;143;108;91
;;Morsø;79;81;83;54;55;79;118;71;56;58;51;52;34;66
;;Rebild;163;222;232;150;166;180;175;179;181;157;118;96;50;76
;;Thisted;96;117;132;75;152;188;157;88;106;76;72;116;70;50
;;Vesthimmerlands;267;367;314;216;217;278;268;183;285;232;110;152;101;100
;;Aalborg;1235;1509;1461;1543;1668;1496;1274;1252;1137;920;827;968;611;410
;;Unknown municipality;72;29;41;64;54;75;40;36;20;37;24;31;19;50
;Burglary (uninhabited buildings);Copenhagen;942;962;1073;1253;1544;1359;1475;1770;1369;1215;1038;1088;1034;990
;;Frederiksberg;67;105;104;170;279;274;255;300;235;289;205;176;126;97
;;Dragør;16;42;30;18;16;20;21;9;5;7;13;28;15;10
;;Tårnby;51;78;120;102;189;110;159;117;87;90;91;81;82;118
;;Albertslund;29;46;64;31;44;19;29;28;31;70;25;20;25;27
;;Ballerup;120;221;223;132;166;109;217;190;127;159;132;78;97;70
;;Brøndby;60;92;115;100;85;127;195;232;99;109;65;92;50;55
;;Gentofte;41;70;97;139;110;76;120;159;110;87;109;84;74;88
;;Gladsaxe;83;125;162;142;136;141;203;145;150;117;152;78;73;94
;;Glostrup;50;55;77;55;69;75;71;79;60;69;74;94;55;55
;;Herlev;35;60;72;83;74;67;99;63;68;111;74;46;46;38
;;Hvidovre;107;130;133;133;117;123;196;150;95;113;142;101;74;74
;;Høje-Taastrup;116;127;205;149;172;168;162;130;176;113;76;82;52;73
;;Ishøj;99;91;64;86;47;39;54;34;29;53;30;39;21;22
;;Lyngby-Taarbæk;91;124;115;155;113;136;127;156;125;143;72;98;102;72
;;Rødovre;79;113;222;110;75;85;98;88;86;159;153;123;95;38
;;Vallensbæk;20;39;27;29;24;21;20;11;14;15;33;3;14;9
;;Allerød;11;27;23;16;18;30;24;27;15;20;6;9;12;3
;;Egedal;27;29;49;50;58;36;33;41;36;44;29;39;37;23
;;Fredensborg;34;43;94;56;40;36;50;38;23;28;14;22;17;13
;;Frederikssund;131;124;129;117;68;76;133;138;97;124;108;104;175;136
;;Furesø;20;35;50;47;40;44;36;60;52;28;20;24;17;15
;;Gribskov;347;460;573;472;306;303;366;511;443;522;297;165;266;198
;;Halsnæs;154;252;344;375;302;240;261;258;131;225;260;168;224;155
;;Helsingør;129;227;270;350;263;282;354;192;191;174;188;141;115;113
;;Hillerød;56;48;31;49;42;65;58;45;48;24;33;46;27;38
;;Hørsholm;12;18;29;61;46;48;68;32;22;17;24;16;17;22
;;Rudersdal;48;68;101;62;64;52;61;119;83;66;45;59;70;70
;;Bornholm;24;56;59;69;73;42;42;22;16;11;28;19;12;11
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;52;81;75;90;103;84;61;101;63;276;105;59;76;40
;;Køge;111;151;223;197;186;127;97;121;102;225;139;95;60;72
;;Lejre;35;47;43;58;47;39;43;24;25;26;28;30;26;20
;;Roskilde;146;173;171;191;166;108;185;198;193;159;98;69;57;69
;;Solrød;11;14;12;24;18;21;27;33;30;43;30;22;15;11
;;Faxe;53;66;57;130;71;81;73;71;70;70;49;48;51;45
;;Guldborgsund;220;269;324;307;230;321;274;286;229;143;166;195;146;119
;;Holbæk;179;179;192;157;152;136;122;124;126;88;92;76;83;117
;;Kalundborg;239;400;345;268;389;321;272;202;191;121;141;104;74;75
;;Lolland;122;207;238;222;259;159;183;175;163;357;157;164;206;153
;;Næstved;88;127;160;182;149;170;118;129;140;182;195;135;122;136
;;Odsherred;488;536;797;676;846;694;523;389;417;390;396;372;278;264
;;Ringsted;130;91;109;102;96;69;51;51;91;47;49;61;49;50
;;Slagelse;307;294;376;376;423;272;377;336;230;230;215;178;221;193
;;Sorø;36;58;60;62;78;52;49;104;39;45;63;54;55;59
;;Stevns;26;45;44;54;27;44;35;45;20;26;17;44;24;13
;;Vordingborg;186;207;209;214;197;151;127;103;145;173;122;103;72;59
;;Assens;59;90;132;128;79;75;63;86;83;81;83;104;92;145
;;Faaborg-Midtfyn;58;113;114;103;112;73;71;84;115;60;94;127;86;127
;;Kerteminde;76;85;166;109;77;91;55;54;47;54;31;74;45;43
;;Langeland;55;87;113;40;69;73;36;42;34;32;47;79;37;29
;;Middelfart;102;148;173;164;157;137;99;116;107;131;99;98;69;70
;;Nordfyns;111;218;303;232;186;152;88;128;75;81;54;76;52;84
;;Nyborg;87;96;122;96;97;87;75;65;73;52;72;48;83;53
;;Odense;390;432;576;545;581;434;337;286;362;298;303;357;313;414
;;Svendborg;66;108;81;75;111;79;131;81;86;45;147;126;86;106
;;Ærø;7;1;1;3;2;4;4;0;2;2;2;1;5;6
;;Billund;32;37;114;107;28;63;75;59;43;32;23;66;34;43
;;Esbjerg;232;301;244;322;345;235;302;328;282;273;244;226;242;227
;;Fanø;89;16;2;20;5;14;5;11;1;1;3;5;4;1
;;Fredericia;161;159;161;205;180;122;156;175;176;127;108;103;105;106
;;Haderslev;190;187;171;182;153;158;144;208;194;159;134;149;147;108
;;Kolding;234;332;269;229;289;198;146;176;144;120;206;223;188;125
;;Sønderborg;213;266;329;310;307;226;209;119;141;135;162;144;198;132
;;Tønder;90;80;119;184;232;136;148;145;158;89;68;110;102;65
;;Varde;299;232;423;393;396;145;191;199;247;162;135;173;129;103
;;Vejen;87;92;108;142;91;91;134;56;46;50;31;64;58;40
;;Vejle;191;211;288;252;288;196;206;182;198;189;135;210;161;166
;;Aabenraa;134;113;180;153;217;151;134;169;123;105;134;134;115;115
;;Favrskov;68;54;48;61;56;44;47;42;41;43;70;71;55;54
;;Hedensted;119;125;129;145;113;106;105;106;63;63;52;118;83;110
;;Horsens;162;184;210;152;220;170;161;160;115;108;153;147;105;102
;;Norddjurs;231;242;401;332;326;174;216;137;214;274;209;131;182;217
;;Odder;74;56;96;82;84;55;33;48;35;57;60;54;34;36
;;Randers;296;347;453;344;342;269;307;306;347;304;234;231;293;346
;;Samsø;9;1;5;7;8;6;4;2;5;3;8;5;3;3
;;Silkeborg;105;134;141;192;150;103;121;95;81;107;135;141;129;131
;;Skanderborg;68;51;89;86;154;72;81;85;56;84;75;81;72;50
;;Syddjurs;323;357;567;425;399;236;299;216;255;244;269;271;176;138
;;Aarhus;800;1009;970;924;1033;1008;1050;773;699;675;585;618;562;598
;;Herning;70;75;108;114;111;160;135;66;150;118;77;88;138;102
;;Holstebro;117;125;230;183;127;113;64;107;105;57;83;95;90;119
;;Ikast-Brande;36;74;62;59;54;61;47;40;39;69;51;58;56;62
;;Lemvig;42;28;37;39;30;20;17;26;30;17;22;16;31;24
;;Ringkøbing-Skjern;166;162;247;365;305;190;160;126;126;108;131;130;109;111
;;Skive;102;245;346;251;245;180;88;122;137;129;95;83;106;130
;;Struer;45;41;70;32;112;77;69;70;63;51;27;34;24;31
;;Viborg;96;155;162;151;167;121;93;130;103;90;92;141;121;163
;;Brønderslev;78;54;81;81;78;46;59;50;39;23;41;35;69;35
;;Frederikshavn;337;420;448;335;376;268;259;163;210;235;169;138;219;149
;;Hjørring;332;297;423;375;306;155;216;168;199;202;184;163;300;189
;;Jammerbugt;427;448;537;546;530;420;365;277;276;186;233;242;264;164
;;Læsø;4;0;3;4;3;0;1;0;3;0;2;4;0;0
;;Mariagerfjord;144;190;213;334;255;157;135;150;162;135;129;158;81;85
;;Morsø;66;46;74;29;54;64;52;61;51;60;27;23;32;58
;;Rebild;30;62;51;52;56;62;27;44;37;20;25;30;20;28
;;Thisted;149;151;151;156;161;279;148;134;132;143;96;129;83;80
;;Vesthimmerlands;142;208;241;218;258;159;132;126;111;152;81;104;94;102
;;Aalborg;768;724;640;750;822;598;476;428;420;380;582;365;395;258
;;Unknown municipality;23;13;12;7;8;13;6;4;4;4;2;2;1;5
;Theft from conveyances;Copenhagen;6299;4588;5759;4387;4435;5070;4411;4797;4244;3984;3555;3566;3800;3507
;;Frederiksberg;888;504;635;597;554;746;920;830;613;514;456;389;362;547
;;Dragør;77;66;36;45;36;54;24;58;46;45;97;42;75;62
;;Tårnby;477;321;308;351;264;204;228;242;204;252;268;257;252;205
;;Albertslund;257;217;169;244;159;117;126;93;125;160;101;191;128;70
;;Ballerup;463;310;404;411;231;205;178;190;150;260;320;253;239;116
;;Brøndby;398;268;189;243;188;222;144;204;128;185;261;259;141;111
;;Gentofte;564;488;725;486;425;570;467;520;500;582;874;867;714;329
;;Gladsaxe;270;315;356;413;252;339;240;190;210;294;354;294;342;268
;;Glostrup;185;210;130;189;101;136;144;102;97;174;246;242;143;176
;;Herlev;221;256;157;231;138;154;130;228;196;151;163;139;126;109
;;Hvidovre;617;437;512;548;345;395;330;362;215;298;484;411;263;226
;;Høje-Taastrup;580;456;380;377;257;268;198;235;165;250;379;317;161;115
;;Ishøj;228;437;249;175;253;175;129;93;97;163;188;104;78;72
;;Lyngby-Taarbæk;364;429;404;440;345;398;279;320;310;309;461;534;417;219
;;Rødovre;344;324;302;292;211;232;168;192;149;213;304;283;193;211
;;Vallensbæk;171;182;128;139;108;115;71;54;68;84;117;126;63;45
;;Allerød;183;158;105;131;61;84;46;54;65;81;67;84;68;45
;;Egedal;407;285;371;481;138;178;137;161;126;142;170;112;107;82
;;Fredensborg;334;233;346;270;165;255;177;161;172;185;221;170;110;53
;;Frederikssund;341;298;296;254;139;183;128;138;116;199;142;162;133;112
;;Furesø;289;211;264;300;187;143;74;115;145;79;151;144;136;69
;;Gribskov;137;151;194;149;127;117;91;123;122;138;187;209;151;148
;;Halsnæs;93;171;189;163;112;138;85;53;39;103;132;83;115;95
;;Helsingør;1139;918;752;460;294;289;195;171;200;207;282;247;189;198
;;Hillerød;227;382;350;280;191;165;108;112;160;227;195;177;136;116
;;Hørsholm;253;153;209;172;166;179;133;182;225;261;240;181;164;68
;;Rudersdal;342;263;431;381;349;414;210;262;282;296;439;346;399;174
;;Bornholm;68;68;63;38;35;46;35;24;19;16;17;11;11;25
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;628;621;575;577;434;388;421;240;216;272;462;383;213;119
;;Køge;495;565;601;525;388;261;211;203;190;238;408;299;187;149
;;Lejre;142;278;136;183;87;88;70;69;77;107;90;126;43;40
;;Roskilde;480;641;574;400;406;336;218;199;208;261;365;367;215;195
;;Solrød;222;340;198;282;158;134;108;68;79;90;180;121;115;87
;;Faxe;291;310;250;365;195;150;118;123;143;126;189;165;119;125
;;Guldborgsund;599;381;308;298;302;207;171;172;175;192;189;186;199;159
;;Holbæk;368;472;451;479;357;379;314;242;196;198;315;254;175;101
;;Kalundborg;200;241;271;284;201;229;154;165;166;141;130;102;94;57
;;Lolland;335;242;199;215;160;96;106;116;113;133;97;153;82;77
;;Næstved;481;463;413;460;272;250;214;232;230;330;405;311;213;202
;;Odsherred;108;125;138;195;111;118;88;77;48;107;142;119;70;58
;;Ringsted;255;261;286;215;146;148;97;98;161;153;182;197;71;79
;;Slagelse;663;546;537;546;452;462;376;288;293;359;370;340;234;193
;;Sorø;213;203;133;243;143;154;125;138;143;118;176;136;63;57
;;Stevns;78;75;87;87;64;59;62;44;49;54;51;53;30;60
;;Vordingborg;395;452;274;228;228;133;143;124;181;179;208;192;111;78
;;Assens;328;303;268;239;191;145;103;98;80;67;112;64;98;100
;;Faaborg-Midtfyn;140;203;236;235;227;176;139;118;116;69;139;60;53;101
;;Kerteminde;143;88;105;152;132;79;65;29;71;38;62;42;38;44
;;Langeland;33;36;50;60;50;45;20;15;21;9;14;12;10;14
;;Middelfart;326;323;317;256;312;199;149;205;99;72;141;125;127;110
;;Nordfyns;132;160;191;99;145;119;73;70;39;25;53;41;29;35
;;Nyborg;136;165;196;137;151;112;71;93;100;66;78;89;64;80
;;Odense;2363;1657;1375;1161;1253;925;1111;866;843;607;565;671;530;578
;;Svendborg;184;209;243;223;239;221;150;109;105;73;130;99;121;138
;;Ærø;7;14;2;1;5;5;3;6;5;2;9;1;0;4
;;Billund;156;272;363;303;313;265;189;151;94;114;94;105;120;68
;;Esbjerg;911;838;762;963;683;394;338;289;268;271;237;213;225;340
;;Fanø;5;3;6;5;0;3;0;2;2;2;1;2;2;4
;;Fredericia;554;492;435;476;419;208;224;241;125;117;158;111;101;94
;;Haderslev;523;548;394;506;374;244;274;239;171;107;132;109;81;88
;;Kolding;1300;1106;1386;1015;921;733;595;694;565;580;592;412;344;193
;;Sønderborg;610;596;546;552;457;256;328;270;179;182;179;99;101;71
;;Tønder;310;220;272;224;248;149;95;84;32;49;42;60;38;34
;;Varde;313;377;311;372;235;190;156;156;121;73;92;140;79;83
;;Vejen;416;358;315;321;229;209;149;122;85;85;72;52;64;41
;;Vejle;1106;1171;1409;993;967;647;515;435;359;337;368;264;266;344
;;Aabenraa;841;608;468;359;387;333;290;347;161;169;158;180;139;106
;;Favrskov;316;242;205;283;219;125;143;97;102;53;84;122;193;136
;;Hedensted;247;278;286;281;221;135;127;83;49;40;62;47;78;60
;;Horsens;622;717;613;601;468;311;304;232;265;167;200;134;220;205
;;Norddjurs;182;214;126;152;149;83;61;65;56;46;48;55;56;40
;;Odder;81;100;102;113;121;97;73;53;38;43;54;31;27;19
;;Randers;966;819;760;647;609;400;364;331;395;283;257;402;208;219
;;Samsø;3;6;3;4;4;5;3;4;1;4;2;9;2;4
;;Silkeborg;553;638;454;551;364;348;200;188;167;161;175;174;152;141
;;Skanderborg;485;449;404;379;270;319;242;150;106;116;158;154;188;158
;;Syddjurs;232;316;232;266;238;150;169;82;87;59;88;78;68;61
;;Aarhus;4315;3342;3325;3820;4205;3347;3513;3254;3279;2670;2494;3669;2692;1857
;;Herning;398;563;557;596;492;306;187;171;141;172;176;206;176;134
;;Holstebro;307;203;190;228;187;151;78;126;113;92;133;159;70;108
;;Ikast-Brande;294;399;269;316;161;103;119;94;38;44;72;90;107;49
;;Lemvig;59;37;39;57;54;51;19;10;20;11;15;27;16;19
;;Ringkøbing-Skjern;274;294;264;337;239;176;122;121;95;78;114;145;77;96
;;Skive;245;219;212;209;214;95;114;83;73;50;76;48;46;68
;;Struer;87;122;98;93;61;47;36;24;23;50;37;26;21;47
;;Viborg;526;443;354;698;416;189;184;181;147;133;166;115;130;160
;;Brønderslev;223;126;84;225;128;89;97;55;32;50;50;55;31;36
;;Frederikshavn;335;332;255;216;291;144;115;95;112;131;241;108;130;72
;;Hjørring;267;332;230;205;219;125;123;77;88;106;168;78;82;69
;;Jammerbugt;151;106;118;141;161;111;58;39;23;34;65;66;58;48
;;Læsø;2;1;0;1;1;0;1;0;4;1;0;0;0;0
;;Mariagerfjord;262;278;292;275;204;190;118;155;114;92;50;110;74;64
;;Morsø;83;91;56;53;65;37;36;29;26;34;24;21;22;15
;;Rebild;158;118;105;174;104;157;87;60;43;40;41;56;31;44
;;Thisted;161;151;133;133;152;74;80;79;62;95;80;98;49;45
;;Vesthimmerlands;250;269;161;309;183;90;116;74;47;46;45;63;73;73
;;Aalborg;1460;1175;1140;1116;973;815;762;712;410;341;503;408;308;262
;;Unknown municipality;163;102;123;132;103;75;64;59;53;61;53;76;89;45
;Shoplifting, etc.;Copenhagen;3407;3917;4171;5017;5439;4962;4589;4754;3803;4449;3984;4158;3508;3875
;;Frederiksberg;390;510;466;436;439;527;457;507;341;325;439;367;405;480
;;Dragør;4;10;10;15;5;14;9;1;5;9;6;4;5;6
;;Tårnby;259;489;489;517;460;385;320;247;517;469;587;596;518;173
;;Albertslund;85;116;107;124;105;99;62;108;75;105;140;110;120;123
;;Ballerup;173;211;203;275;184;156;166;138;101;110;142;123;172;162
;;Brøndby;43;39;44;74;59;107;96;96;101;79;72;99;72;103
;;Gentofte;140;152;154;88;133;122;142;223;329;323;325;143;99;114
;;Gladsaxe;189;136;168;249;191;139;149;145;98;93;110;146;94;133
;;Glostrup;191;234;229;218;198;183;190;235;194;193;130;201;149;118
;;Herlev;95;82;122;207;135;158;95;105;67;124;167;189;139;147
;;Hvidovre;155;178;144;220;192;205;116;125;169;150;114;177;153;154
;;Høje-Taastrup;231;249;232;222;166;138;208;306;295;224;260;292;249;227
;;Ishøj;113;158;185;128;170;206;210;220;194;188;222;221;191;208
;;Lyngby-Taarbæk;551;495;402;428;347;423;416;460;603;443;460;454;344;344
;;Rødovre;310;283;230;249;209;248;214;236;248;205;272;280;275;267
;;Vallensbæk;15;19;41;20;25;33;28;32;9;15;11;20;31;30
;;Allerød;34;44;39;57;44;80;71;84;66;122;68;59;18;52
;;Egedal;32;61;53;59;43;59;78;52;41;42;51;34;42;54
;;Fredensborg;34;42;38;58;31;64;73;155;172;84;104;66;48;44
;;Frederikssund;78;108;121;107;118;147;153;117;218;154;220;70;64;74
;;Furesø;34;52;77;116;79;49;52;65;88;56;80;73;50;38
;;Gribskov;32;44;66;58;38;68;85;76;113;72;130;49;36;19
;;Halsnæs;54;59;98;160;239;194;185;151;106;111;123;46;32;31
;;Helsingør;305;316;274;289;273;283;292;266;227;229;342;171;201;267
;;Hillerød;195;186;252;219;153;272;298;229;254;198;217;194;200;173
;;Hørsholm;53;31;39;63;62;31;42;15;80;40;71;26;87;47
;;Rudersdal;65;92;120;79;89;81;78;89;128;97;102;81;84;99
;;Bornholm;68;89;100;106;87;57;57;54;80;80;74;85;34;45
;;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Greve;121;183;246;221;236;247;222;238;240;169;212;183;146;185
;;Køge;147;133;186;155;148;181;172;175;172;124;118;133;98;111
;;Lejre;10;33;26;25;42;52;30;28;22;23;16;13;23;26
;;Roskilde;257;303;305;299;337;359;459;418;328;310;236;287;333;271
;;Solrød;19;45;30;21;15;22;56;18;31;30;33;25;25;21
;;Faxe;45;63;63;56;70;27;40;46;88;86;57;61;39;41
;;Guldborgsund;166;128;116;144;120;155;154;215;167;147;118;108;143;144
;;Holbæk;185;170;190;188;191;199;213;213;151;204;139;86;114;153
;;Kalundborg;97;76;84;91;62;77;85;94;67;74;66;39;29;55
;;Lolland;111;74;93;140;116;111;110;79;67;80;96;84;62;79
;;Næstved;309;239;298;286;281;234;262;287;339;281;162;170;215;205
;;Odsherred;42;63;92;63;64;57;72;53;53;45;56;33;60;41
;;Ringsted;79;80;70;110;109;86;82;120;125;97;85;110;77;109
;;Slagelse;291;334;250;300;307;313;286;315;273;261;240;220;290;285
;;Sorø;48;55;47;43;28;37;31;50;38;57;58;29;22;33
;;Stevns;15;6;10;14;7;17;13;16;11;13;12;11;7;20
;;Vordingborg;113;125;95;83;114;84;71;146;120;57;52;60;67;61
;;Assens;34;56;41;63;61;35;37;37;33;19;11;11;22;31
;;Faaborg-Midtfyn;50;52;50;54;46;63;58;55;44;48;48;39;36;27
;;Kerteminde;26;18;45;41;27;26;31;20;32;21;27;26;11;18
;;Langeland;14;22;24;12;19;25;27;18;16;21;11;8;5;12
;;Middelfart;62;59;61;45;48;85;62;42;41;52;46;40;37;37
;;Nordfyns;31;28;48;37;60;33;32;44;35;43;24;15;33;31
;;Nyborg;67;85;71;66;64;40;94;75;67;58;40;43;31;48
;;Odense;1199;1073;1161;1232;1276;1301;1212;1349;999;957;921;888;851;959
;;Svendborg;218;182;195;199;147;132;212;220;158;181;107;79;122;84
;;Ærø;3;5;5;2;8;8;4;1;1;9;8;0;0;1
;;Billund;50;41;33;26;30;58;43;36;33;29;25;25;21;54
;;Esbjerg;343;498;510;389;449;449;306;389;391;347;373;437;626;487
;;Fanø;2;8;4;6;7;7;2;7;3;1;8;5;2;4
;;Fredericia;137;165;165;139;116;170;159;185;127;174;143;199;184;144
;;Haderslev;151;136;122;94;95;109;128;108;125;144;88;107;103;97
;;Kolding;390;396;453;383;412;338;343;349;356;287;248;320;260;322
;;Sønderborg;175;201;142;216;154;193;225;172;162;161;219;150;160;181
;;Tønder;74;72;60;49;29;47;60;47;47;32;45;34;57;53
;;Varde;115;91;85;68;82;88;64;83;70;56;58;61;62;54
;;Vejen;52;37;43;50;49;65;74;50;40;51;32;38;47;58
;;Vejle;277;336;350;493;424;410;376;431;427;315;361;266;300;236
;;Aabenraa;132;141;153;127;131;135;109;142;95;99;96;135;124;80
;;Favrskov;47;62;53;47;29;28;42;26;72;53;39;47;38;29
;;Hedensted;31;19;45;41;44;53;34;29;52;62;42;33;26;49
;;Horsens;268;248;325;385;387;394;276;264;302;300;334;426;322;282
;;Norddjurs;62;63;56;56;55;80;65;43;66;63;39;54;54;64
;;Odder;21;13;18;32;30;33;23;25;23;11;16;30;32;21
;;Randers;280;320;324;291;276;392;370;292;256;333;246;238;323;301
;;Samsø;3;5;1;0;1;1;0;2;3;5;0;1;0;7
;;Silkeborg;160;239;229;174;181;215;168;207;158;173;196;152;131;116
