Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Nature of the offence, total;Langeland;140;189;178;177;157;186;123;175;149;156;123;182;255;200
Nature of the offence, total;Middelfart;631;657;488;578;675;687;548;700;484;428;583;645;764;796
Nature of the offence, total;Nordfyns;343;346;348;368;388;349;295;359;313;466;297;565;514;460
Nature of the offence, total;Nyborg;578;572;674;739;903;819;658;726;651;799;956;718;808;933
Nature of the offence, total;Odense;5281;4400;4700;5152;5847;5617;5801;5861;4811;4577;5655;5020;5667;7221
Nature of the offence, total;Svendborg;1047;1081;1073;1244;1252;1112;1256;1140;1112;1029;1247;1177;1257;1162
Nature of the offence, total;Ærø;67;65;47;28;31;52;51;36;44;48;52;61;49;46
Nature of the offence, total;Billund;426;510;463;641;836;824;766;786;608;645;594;654;810;683
Nature of the offence, total;Esbjerg;2515;2663;2773;2722;3653;3349;3279;3298;3547;3059;3024;4162;4605;4879
Nature of the offence, total;Fanø;33;26;23;20;42;51;33;52;42;40;56;72;31;46
Nature of the offence, total;Fredericia;1254;1145;1168;1410;1553;1563;2071;1613;1603;1642;1666;1588;2153;2262
Nature of the offence, total;Haderslev;1033;974;1025;957;1199;1310;1107;1284;1416;1804;1274;1287;1250;1195
Nature of the offence, total;Kolding;1961;1996;1924;1771;2269;2222;2572;2917;2518;1873;2047;2631;2550;2796
Nature of the offence, total;Sønderborg;1069;1073;1217;1335;1639;1496;1450;1387;1273;1334;1382;1479;1801;1370
Nature of the offence, total;Tønder;785;685;715;853;1088;850;885;766;895;793;654;1039;1753;1169
Nature of the offence, total;Varde;531;601;628;698;914;840;806;754;873;742;799;1213;1452;1011
Nature of the offence, total;Vejen;660;586;556;681;939;845;1149;827;892;832;659;755;935;852
Nature of the offence, total;Vejle;1434;1502;1752;2116;3134;2743;2735;2965;2839;2307;2115;2531;3427;3044
Nature of the offence, total;Aabenraa;1608;1642;1801;1904;2173;1916;1726;1971;1842;2154;1771;2016;2617;2773
Nature of the offence, total;Favrskov;470;430;439;540;707;543;448;452;504;484;1451;582;589;717
Nature of the offence, total;Hedensted;507;407;423;545;726;661;703;562;658;693;593;754;833;678
Nature of the offence, total;Horsens;1780;1494;1702;1963;2792;2648;2468;2151;2105;1697;1924;2458;3151;2453
Nature of the offence, total;Norddjurs;743;719;706;819;972;790;686;794;857;1067;555;935;957;784
Nature of the offence, total;Odder;151;180;209;209;240;204;204;215;192;225;189;246;243;258
Nature of the offence, total;Randers;2011;2082;2390;2593;2835;2764;2615;2280;2317;3537;2334;2187;3708;3276
Nature of the offence, total;Samsø;23;32;22;42;49;23;39;51;89;75;55;59;76;70
Nature of the offence, total;Silkeborg;1026;1167;1280;1387;1657;1726;1779;1795;1527;1425;1519;1944;2060;1924
Nature of the offence, total;Skanderborg;609;507;572;567;842;999;985;807;739;743;643;650;909;683
Nature of the offence, total;Syddjurs;481;484;501;635;613;583;588;454;578;521;662;644;558;784
Nature of the offence, total;Aarhus;6688;6743;6509;6953;7980;8403;8091;9490;8343;9424;8595;9465;10437;11270
Nature of the offence, total;Herning;1274;1291;1526;1428;1576;1927;1812;1785;2290;2050;2075;2590;3003;2726
Nature of the offence, total;Holstebro;964;1037;1037;1059;1265;1410;1454;1318;1236;1001;1931;1483;2108;1465
Nature of the offence, total;Ikast-Brande;569;577;629;807;904;888;740;701;642;661;600;839;3922;1723
Nature of the offence, total;Lemvig;214;186;180;224;274;273;255;269;274;193;166;304;373;395
Nature of the offence, total;Ringkøbing-Skjern;647;658;618;749;829;872;702;794;764;822;795;784;762;755
Nature of the offence, total;Skive;778;880;631;713;1051;914;1026;901;1039;809;736;876;1402;1048
Nature of the offence, total;Struer;279;369;359;315;354;301;309;339;413;356;394;342;732;475
Nature of the offence, total;Viborg;1369;1415;1328;1407;1697;1749;1650;2079;1732;1884;1817;2638;2311;2020
Nature of the offence, total;Brønderslev;525;415;414;474;722;634;695;687;538;587;505;639;517;610
Nature of the offence, total;Frederikshavn;988;866;1253;1183;1568;1390;1248;1218;1126;1557;1432;2412;1267;1237
Nature of the offence, total;Hjørring;1297;986;1055;1290;1583;1709;1597;1561;1562;1763;2035;1416;1240;1203
Nature of the offence, total;Jammerbugt;343;425;492;469;644;600;575;514;627;680;409;580;572;667
Nature of the offence, total;Læsø;8;3;23;23;32;33;25;36;25;15;12;22;31;13
Nature of the offence, total;Mariagerfjord;675;551;696;721;914;824;771;1059;864;789;598;765;663;745
Nature of the offence, total;Morsø;262;356;378;303;381;279;343;540;336;307;555;470;445;330
Nature of the offence, total;Rebild;219;218;252;256;430;451;455;420;362;518;284;361;425;477
Nature of the offence, total;Thisted;703;750;942;729;862;799;857;798;748;931;705;1010;1039;699
Nature of the offence, total;Vesthimmerlands;492;557;530;503;671;761;771;728;945;746;679;595;549;600
Nature of the offence, total;Aalborg;3957;3826;4011;4242;5971;5811;6596;6917;6284;6360;5695;5887;5927;5069
Nature of the offence, total;Unknown municipality;2503;1884;1967;3661;5401;5658;5113;7625;11115;12948;12367;12530;9130;13677
Penal Code, total;Copenhagen;11497;10960;10772;11826;12384;11905;12425;13326;13522;15205;13144;12887;16155;17402
Penal Code, total;Frederiksberg;987;977;960;979;1106;1219;1238;1208;1168;924;1217;1018;1053;1230
Penal Code, total;Dragør;83;65;74;75;77;94;43;34;64;65;63;54;75;71
Penal Code, total;Tårnby;770;1014;1189;1040;940;1108;1010;1076;2645;1000;1000;1238;1488;810
Penal Code, total;Albertslund;433;587;426;630;580;568;562;582;433;761;608;538;487;1260
Penal Code, total;Ballerup;577;621;619;583;581;552;641;570;650;950;705;598;583;804
Penal Code, total;Brøndby;457;399;383;455;555;513;421;515;515;1044;921;825;552;481
Penal Code, total;Gentofte;568;499;578;754;596;473;489;558;350;405;546;580;577;654
Penal Code, total;Gladsaxe;629;585;594;577;581;585;540;591;976;583;673;582;516;630
Penal Code, total;Glostrup;493;531;541;531;489;527;524;599;449;548;436;462;427;458
Penal Code, total;Herlev;365;329;304;388;449;397;373;431;418;350;316;428;703;1016
Penal Code, total;Hvidovre;758;691;585;756;694;642;606;580;661;705;576;632;723;1107
Penal Code, total;Høje-Taastrup;593;662;712;815;688;581;606;771;967;934;885;739;1177;1255
Penal Code, total;Ishøj;385;418;403;392;437;514;393;434;474;453;395;653;408;448
Penal Code, total;Lyngby-Taarbæk;775;734;626;719;731;717;615;701;781;649;702;966;597;691
Penal Code, total;Rødovre;801;676;579;729;662;661;550;538;606;503;572;562;684;639
Penal Code, total;Vallensbæk;102;78;123;125;96;133;94;110;150;98;81;90;146;99
Penal Code, total;Allerød;125;174;158;212;215;270;267;288;177;431;157;215;118;125
Penal Code, total;Egedal;216;223;261;273;270;201;185;231;280;195;174;189;140;195
Penal Code, total;Fredensborg;281;262;315;369;325;340;326;367;321;227;192;252;222;333
Penal Code, total;Frederikssund;461;538;440;465;419;496;496;453;381;428;530;374;360;390
Penal Code, total;Furesø;250;223;216;384;280;339;292;231;226;250;337;285;218;314
Penal Code, total;Gribskov;319;288;358;356;347;355;254;352;730;309;335;301;291;278
Penal Code, total;Halsnæs;287;344;365;395;395;583;388;369;259;366;380;316;272;286
Penal Code, total;Helsingør;926;1011;894;1041;1088;983;1320;989;645;657;833;585;657;936
Penal Code, total;Hillerød;685;564;576;713;2787;739;630;666;536;831;641;627;553;650
Penal Code, total;Hørsholm;181;136;139;240;247;163;164;136;149;135;186;629;249;159
Penal Code, total;Rudersdal;318;274;373;397;423;420;297;312;428;534;387;394;356;373
Penal Code, total;Bornholm;485;632;580;545;492;504;530;449;445;418;425;376;364;423
Penal Code, total;Christiansø;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Penal Code, total;Greve;445;535;655;749;699;772;564;581;481;478;649;513;350;497
Penal Code, total;Køge;577;610;687;709;650;689;676;784;585;670;614;451;492;911
Penal Code, total;Lejre;142;146;167;275;182;227;183;208;119;106;142;521;99;134
Penal Code, total;Roskilde;965;1017;1041;997;1416;1171;1212;1174;1254;1047;1658;1510;898;980
Penal Code, total;Solrød;93;142;152;150;135;167;168;112;127;155;166;165;104;127
Penal Code, total;Faxe;234;252;273;337;384;258;358;399;292;740;299;279;240;418
Penal Code, total;Guldborgsund;987;874;900;935;942;913;1153;890;874;1595;1093;1073;1524;1662
Penal Code, total;Holbæk;707;736;684;868;931;941;1471;963;787;767;775;719;667;1771
Penal Code, total;Kalundborg;530;524;543;697;533;643;760;495;423;462;617;577;662;392
Penal Code, total;Lolland;750;641;768;721;722;626;758;668;734;1646;729;882;1213;883
Penal Code, total;Næstved;963;827;868;829;1088;1067;990;967;834;1521;1048;1395;1015;1142
Penal Code, total;Odsherred;259;277;389;423;415;414;357;567;334;273;366;340;331;497
Penal Code, total;Ringsted;341;299;311;396;485;589;349;407;621;388;471;353;373;459
Penal Code, total;Slagelse;1171;1062;840;1022;1363;1245;1238;1463;1050;1898;1391;1338;1532;2314
Penal Code, total;Sorø;209;201;219;500;260;256;257;311;298;616;352;394;320;397
Penal Code, total;Stevns;117;97;90;103;133;140;108;124;98;115;106;140;86;154
Penal Code, total;Vordingborg;544;573;482;528;714;551;442;549;486;938;990;562;677;654
Penal Code, total;Assens;346;368;364;468;425;331;285;316;266;237;219;255;330;493
Penal Code, total;Faaborg-Midtfyn;436;391;433;458;715;461;363;588;399;382;431;343;326;379
Penal Code, total;Kerteminde;198;116;175;172;148;183;195;183;160;101;144;205;144;220
Penal Code, total;Langeland;105;152;154;142;114;146;95;107;76;99;81;103;121;109
Penal Code, total;Middelfart;469;453;340;399;470;447;332;406;272;225;416;365;428;579
Penal Code, total;Nordfyns;275;265;265;303;294;252;188;233;168;366;215;368;289;291
Penal Code, total;Nyborg;395;411;500;534;633;550;456;496;404;469;675;369;343;461
Penal Code, total;Odense;4178;3158;3454;3909;3868;3566;3502;3612;2922;2772;3648;2757;3313;3962
Penal Code, total;Svendborg;772;817;836;981;771;653;825;698;637;627;805;642;566;602
Penal Code, total;Ærø;47;55;37;20;26;36;47;19;18;28;38;33;21;21
Penal Code, total;Billund;220;211;232;325;415;384;341;443;273;276;227;265;317;263
Penal Code, total;Esbjerg;1750;1860;1903;2002;2226;2015;1884;2018;2047;1902;2006;2180;2365;2133
Penal Code, total;Fanø;23;23;19;14;27;29;22;29;27;23;45;44;20;26
Penal Code, total;Fredericia;809;783;785;941;911;779;1283;968;884;725;676;796;1155;894
Penal Code, total;Haderslev;742;725;736;682;743;866;728;832;845;1289;757;710;674;713
Penal Code, total;Kolding;1477;1475;1519;1295;1488;1296;1423;1907;1540;1016;1224;1566;1349;1471
Penal Code, total;Sønderborg;833;793;842;1016;1174;1007;1049;977;783;893;1003;864;875;861
Penal Code, total;Tønder;487;407;417;424;507;470;474;422;480;475;397;493;1061;540
Penal Code, total;Varde;394;434;472;547;603;547;516;493;531;436;525;711;919;519
Penal Code, total;Vejen;511;412;378;506;631;560;885;560;544;484;418;366;337;357
Penal Code, total;Vejle;1073;1048;1291;1474;1719;1612;1541;1587;1685;1280;1347;1485;1874;1379
Penal Code, total;Aabenraa;927;911;1035;1010;1164;974;840;1190;824;1156;892;910;809;917
Penal Code, total;Favrskov;339;316;307;347;360;352;279;322;267;330;1324;343;353;540
Penal Code, total;Hedensted;362;285;290;320;385;376;380;287;270;348;312;420;371;387
Penal Code, total;Horsens;1233;1020;1156;1302;1854;1299;1374;1140;1135;888;1162;1462;1412;1327
Penal Code, total;Norddjurs;558;513;486;519;432;404;388;422;473;728;295;510;533;494
Penal Code, total;Odder;117;130;149;140;151;112;119;149;111;117;125;135;133;164
Penal Code, total;Randers;1361;1306;1510;1627;1473;1468;1505;1287;1213;2707;1507;1139;2003;1719
Penal Code, total;Samsø;18;25;16;35;31;17;16;25;22;44;13;16;27;27
Penal Code, total;Silkeborg;746;812;924;992;998;1048;940;863;743;767;866;993;972;1079
Penal Code, total;Skanderborg;485;386;484;394;493;522;524;492;406;397;401;303;482;296
Penal Code, total;Syddjurs;361;356;346;440;392;360;374;276;300;276;525;359;251;560
Penal Code, total;Aarhus;4793;4745;4541;4730;4822;5092;4796;6367;5147;6177;5119;5596;4799;6423
Penal Code, total;Herning;845;875;1094;881;920;1032;895;863;1031;1036;1107;1480;1636;1657
Penal Code, total;Holstebro;596;612;633;678;718;770;762;628;688;518;1484;851;1276;897
Penal Code, total;Ikast-Brande;287;321;352;423;464;475;361;338;265;380;358;427;611;608
Penal Code, total;Lemvig;147;128;111;120;139;165;130;129;112;102;104;167;153;190
Penal Code, total;Ringkøbing-Skjern;461;481;446;502;528;486;411;438;381;514;523;397;348;466
Penal Code, total;Skive;514;586;447;430;543;530;563;424;562;470;448;495;771;563
Penal Code, total;Struer;191;228;239;201;191;180;189;207;225;227;262;190;491;287
Penal Code, total;Viborg;886;927;863;950;978;1055;836;1136;888;1122;1155;1713;1200;1250
Penal Code, total;Brønderslev;368;301;274;324;408;335;393;458;299;333;283;412;276;359
Penal Code, total;Frederikshavn;644;602;805;682;817;659;607;560;651;975;964;1807;708;742
Penal Code, total;Hjørring;971;745;771;816;814;766;623;775;929;1147;1308;889;687;591
Penal Code, total;Jammerbugt;248;321;386;353;390;324;317;321;394;445;259;314;345;393
Penal Code, total;Læsø;5;2;13;18;8;21;19;24;13;6;2;7;16;3
Penal Code, total;Mariagerfjord;487;390;505;497;461;376;403;615;408;381;352;435;371;471
Penal Code, total;Morsø;186;238;218;189;207;180;198;389;207;179;468;267;272;214
Penal Code, total;Rebild;135;165;171;146;172;200;226;144;106;272;144;132;214;161
Penal Code, total;Thisted;516;473;552;415;464;500;479;395;366;611;452;631;595;396
Penal Code, total;Vesthimmerlands;368;421;377;349;339;459;526;402;642;437;475;314;331;368
Penal Code, total;Aalborg;2815;2644;2709;2709;3243;2894;3018;3203;3178;2884;2852;2508;2797;2730
Penal Code, total;Unknown municipality;1727;1289;1236;1952;2111;2636;2966;4102;7036;8193;8672;8381;6448;10602
Penal code, unspecified;Copenhagen;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Frederiksberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Dragør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Tårnby;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Albertslund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Ballerup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Brøndby;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Gentofte;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Gladsaxe;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Glostrup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Herlev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Hvidovre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Høje-Taastrup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Ishøj;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Lyngby-Taarbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Rødovre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Vallensbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Allerød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Egedal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Fredensborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Frederikssund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Furesø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Gribskov;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Halsnæs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Helsingør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Hillerød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Hørsholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Rudersdal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Bornholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Greve;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Køge;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Lejre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Roskilde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Solrød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Faxe;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Guldborgsund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Holbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Kalundborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Lolland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Næstved;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Odsherred;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Ringsted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Slagelse;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Sorø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Stevns;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Vordingborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Assens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Faaborg-Midtfyn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Kerteminde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Langeland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Middelfart;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Nordfyns;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Nyborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Odense;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Svendborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Ærø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Billund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Esbjerg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Fanø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Fredericia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Haderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Kolding;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Sønderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Tønder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Varde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Vejen;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Vejle;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Aabenraa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Favrskov;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Hedensted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Horsens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Norddjurs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Odder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Randers;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Samsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Silkeborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Skanderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Syddjurs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Aarhus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Herning;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Holstebro;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Ikast-Brande;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Lemvig;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Ringkøbing-Skjern;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Skive;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Struer;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Viborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Brønderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Frederikshavn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Hjørring;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Jammerbugt;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Mariagerfjord;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Morsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Rebild;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Thisted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Vesthimmerlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Aalborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penal code, unspecified;Unknown municipality;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sexual offenses, total;Copenhagen;124;139;115;108;145;161;119;138;156;181;372;704;262;396
