Charged criminal offences;Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Charge;Penal code, unspecified;Lejre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Roskilde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Solrød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Faxe;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Guldborgsund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Holbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Kalundborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Lolland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Næstved;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Odsherred;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Ringsted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Slagelse;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Sorø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Stevns;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Vordingborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Assens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Faaborg-Midtfyn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Kerteminde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Langeland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Middelfart;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Nordfyns;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Nyborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Odense;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Svendborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Ærø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Billund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Esbjerg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Fanø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Fredericia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Haderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Kolding;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Sønderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Tønder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Varde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Vejen;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Vejle;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Charge;Penal code, unspecified;Aabenraa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
